to access|acceder
the diary|la agenda
to store (starts with an a)|almacenar
the @ symbol|la arroba
on demand|bajo demanda
the broadband|la banda ancha
to look for|buscar
the search engine|el buscador
to upload (starts with ca)|cargar
the file (i think it means physical file like a ring binder? computer file is archivo, but a computer folder is also this word)|la carpeta
the cyberscape|el ciberespacio
to buy|comprar
to share|compartir
to communicate|comunicar
to connect (reflexive)|conectarse
the consumer (male)|el consumidor
the consumer (female)|la consumidora
the consumption|el consumo
the content|el contenido
the spam|el correo basura
the email|el correo electrónico
to grow|crecer
the bank account|la cuenta bancaria
to develop|desarrollar
the unknown person, stranger (male)|el desconocido
the unknown person, stranger (female)|la desconocida
to download|descargar
the personal details|los datos personales
the swindle, scam|la estafa
to listen|escuchar
to ease, facilitate|facilitar
the fraud|el fraude
to work, function|funcionar
out of control, rapidly increasing (ends with e)|galopante
to manage, handle (starts with g)|gestionar
to store, save (starts with g)|guardar
to click|hacer clic
the tool|la herramienta
wireless (masculine)|inalámbrico
wireless (feminine)|inalámbrica
the image|el imagen
the printer|la impresora
to print|imprimir
the internet user (male (only article changes with gender))|el internauta
the internet user (female (only article changes with gender))|la internauta
to invest|invertir
to log into facebook (uses meterse)|meterse en Facebook
the browser|el navegador
to surf|navegar
the computer (starts with o)|el ordenador
the screen|la pantalla
to spend (time)|pasar
the profile|el perfil
the old people|las personas mayores
the spokesperson (male (only article changes with gender))|el portavoz
the spokesperson (female (only article changes with gender))|la portavoz
the press|la prensa
the provider|el proveedor
the mouse|el ratón
the follower|el seguidor
to follow|seguir
to upload (starts with an s)|subir
the subscriber (male)|el suscriptor
the subscriber (female)|la suscriptora
the tablet|la tableta
the keyboard|el teclado
the technology|la tecnología
the tv viewer (male)|el telespectador
the tv viewer (female)|la telespectadora
the smartphone|el teléfono inteligente
the diagnosing through the internet|la telemedicina
to have an account|tener una cuenta
to tweet|tuitear
the user (male)|el usuario
the user (female)|la usuaria
to use|usar (or utilizar)
the isolation|el aislamiento
the app|la aplicación
the boom|el auge
the advance|el avance
the camera|la cámara
the mobile phone (starts with c)|el celular
to chat (in person)|charlar
the phone coverage|la cobertura
the password|la contraseña
to cost (irreguar)|costar
prepaid|de prepago
the disadvantage|la desventaja
the gadget (starts with d)|el dispositivo
to choose|elegir
on average|en promedio
to understand|entender
to send (starts with e)|enviar
to be broken|estar roto
to avoid|evitar
to make (in a manufacturing context)|fabricar
the failure at school|el fracaso escolar
the language (masculine (ends with je))|el lenguaje
light (adjective (masculine))|ligero
light (adjective (feminine))|ligera
the call|la llamada
to call|llamar
to send (starts with m)|mandar
the text message|el mensaje de texto
the mobile phone (starts with m)|el móvil
the danger|el peligro
dangerous (masculine)|peligroso
dangerous (feminine)|peligrosa
to waste time|perder tiempo
the budget|el presupuesto
to survive|sobrevivir
the shyness|la timidez
the advantage|la ventaja
to advise|aconsejar
to warn|advertir
to face|afrontar
to reach|alcanzar
the virtual friend (male)|el amigo virtual
the virtual friend (female)|la amiga virtual
often|a menudo
to increase (starts with ac)|acrecentar
the battery|la batería
to block|bloquear
the campaign|la campaña
face to face|cara a cara
to chat (online)|chatear
the advice|el consejo
lack of|la falta de
to make contacts|hacer contactos
to hack|hackear
the identity|la identidad
the privacy (starts with an i)|la intimidad
to fight|luchar
the fine (like a parking fine)|la multa
to allow|permitir
the piracy|la piratería
the privacy (starts with a p)|la privacidad
private (masculine)|privado
private (feminine)|privada
to carry out|realizar
to recieve|recibir
the social network|la red social
to restrict|restringir
the risk|el riesgo
to rob|robar
the security|la seguridad
to be careful|tener cuidado
to be successful|tener éxito
