cards from: /Users/luna/subject-resources/sixth-form/cards/languages/spanish/a2-aqa/unit1.txt
Round 1:
✓ to pay                                             pagar
✓ to take refuge (reflexive)                         refugiarse
✓ injured person (female)                            la herida
✓ the hope                                           la esperanza
✓ the survivor (female)                              la sobreviviente
✓ to earn (starts with g)                            ganar
✗ the wall/border (starts with v)                    la valla
✓ to drown (reflexive)                               ahogarse
✓ native (starts with a) (feminine)                  autóctona
✓ the spokesman                                      el portavoz
✓ to look after                                      cuidar
✓ the journey (starts with "tray")                   el trayecto
✓ to leave (starts with d)                           dejar
✓ to accept/to embrace, take in                      acoger
✓ to pay taxes                                       pagar impuestos
✓ to earn a living (3 words) (reflexive)             ganarse la vida
✗ the brain drain                                    la fuga de cerebros
✓ to carry out (starts with r)                       realizar
✓ to hit                                             golpear
✓ to spread (starts with d)                          difundir
✓ to carry (starts with t)                           transportar
✓ the political asylum                               el asilo político
✓ the remittances                                    las remesas
✓ to provide for                                     mantener a
✓ to report                                          denunciar
✗ the ancestry                                       la ascendencia
✓ to support (starts with "ap")                      apoyar
✓ injured person (male)                              el herido
✓ the refugee (male)                                 el refugiado
✓ wave/surge/flood of (3 words starts with o)        la oleada de
✓ coming from (2 words 2nd word is de)               procedente de
✓ the rights                                         los derechos
✓ the social security                                la seguridad social
✓ to make ends meet                                  llegar a fin de mes
✗ the arrival                                        el arribo
✓ to land (2 words 1st word starts with t)           tocar tierra
✓ to carry on/to follow                              seguir
✗ to register (starts with e)                        empadronar
✓ to deport                                          deportar
✓ to strengthen/to reinforce                         reforzar
✓ western (adjective ends in "al")                   occidental
✓ to fall (starts with c)                            caer
✓ the boom                                           el auge
✓ the civil servant (female)                         la funcionaria
✓ the European Union                                 la Unión Europea
✓ to retire (reflexive)                              jubilarse
✓ the Castro revolution                              la revolución castrista
✓ the census                                         el censo
✓ to return (starts with "reg")                      regresar
✓ the policy (or the politics)                       la política
✓ the small boat                                     la patera
✓ the post/position (starts with p)                  el puesto
✓ the refugee (female)                               la refugiada
✓ despite                                            a pesar de
✓ to need (2 words 1st word starts with h)           hacer falta
✓ the straits (of gibraltar)                         el estrecho
✓ to survive (starts with s)                         sobrevivir
✓ the immigrants without any documents/papers        los indocumentados
✓ the spanish-speaking world                         el mundo hispánico
✓ to grow up (also "to grow")                        crecer
✓ the human rights                                   los derechos humanos
✓ the training (starts with f)                       la formación
✓ to change                                          cambiar
✓ the workforce                                      la mano de obra
✓ to show gratitude for, to thank                    agradecer
✓ the smuggler                                       el contrabandista
✓ to die (starts with f)                             fallecer
✓ the poverty                                        la pobreza
✓ the foreigner (female)                             la extranjera
✓ to flee (starts with h)                            huir
✓ to try your luck                                   probar suerte
✓ to find (starts with h)                            hallar
✗ the legal advice                                   el asesoramiento jurídico
✓ the residency permit                               el permiso de residencia
✗ the lack, scarcity (starts with e)                 la escasez
✗ to highlight (starts with s)                       señalar
✓ to camp out                                        acampar
✓ to sign                                            firmar
✓ the rate of                                        la tasa de
✓ the civil servant (male)                           el funcionario
✓ to get (starts with c)                             conseguir
✓ the treatment/the agreement                        el trato
✓ to share                                           compartir
✓ to relocate/to move (starts with t) (reflexive)    trasladarse
✓ to contribute                                      aportar
✓ to start, to set in motion (3 words)               poner en marcha
✓ to sink                                            hundir
✓ to be born                                         nacer
✓ nevertheless                                       no obstante
✓ to save (starts with s)                            salvar
✓ the illegal immigrant (female)                     la inmigrante irregular
✓ the support (starts with "arra")                   el arraigo
✓ the illegal immigrant (male)                       el inmigrante irregular
✓ to help (starts with au)                           auxiliar
✗ to waste                                           despilfarrar
✗ the work permit                                    el permiso de trabajo
✓ the risk                                           el riesgo
✓ to achieve (starts with L)                         lograr
✓ the hospitality sector                             la hostelería
✓ to enrich                                          enriquecer
✓ to cross                                           cruzar
✓ to improve                                         mejorar
✓ a host country                                     un país receptor
✓ the war (starts with g not "guerra")               la guerrilla
✓ to live (like "reside") (starts with r)            residir
✓ the stability                                      la estabilidad
✗ the refugee centre                                 el centro de asistencia
✓ the trafficker (female)                            la traficante
✓ to enter (starts with i)                           ingresar
✓ the colonies                                       las colonias
✓ to shout                                           gritar
✗ to head (starts with d also "to lead")             dirigir
✓ suspicious (masculine)                             sospechoso
✓ the quality of life (1st word starts with c)       la calidad de vida
✓ the freedom                                        la libertad
✓ the journey (starts with "trav")                   la travesía
✓ the black market                                   el mercado sumergido
