cards from: /Users/luna/subject-resources/sixth-form/cards/languages/spanish/a2-aqa/unit5.txt
Round 1:
✓ distant (feminine)                                                                 lejana
✓ to grow up                                                                         crecer
✓ to star in (starts with p)                                                         protagonizar
✓ to hand over                                                                       entregar
✗ the imprisonment (starts with r)                                                   la reclusión
✓ agrarian (feminine)                                                                agraria
✓ the commoner (female)                                                              la plebeya
✓ the great grandfather                                                              el bisabuelo
✓ controversial (feminine)                                                           controvertida
✓ the break (like "rupture") ((starts with r)                                        la ruptura
✓ to bring about (starts with propi)                                                 propiciar
✗ buoyant (always ends in e)                                                         boyante
✓ the prisoner (starts with p) (feminine)                                            la presa
✓ to manage/to succeed                                                               lograr
✓ the effigy                                                                         la efigie
✗ to barge in                                                                        irrumpir
✓ to perish                                                                          perecer
✓ the subordinate (female) (not subordinada)                                         la subalterna
✓ the commoner (male)                                                                el plebeyo
✓ the trade union                                                                    el sindicato
✓ the fulfilment                                                                     el cumplimiento
✓ the scythe                                                                         la hoz
✓ to initiate (starts with i)                                                        iniciar
✓ to happen (starts with s)                                                          suceder
✓ the executioner (male)                                                             el verdugo
✓ heir/successor (male)                                                              el heredero
✓ to dismantle (starts with "desma")                                                 desmantelar
✓ to dub                                                                             doblar
✓ the behaviour (starts with "con") (feminine)                                       la conducta
✗ fateful (masculine)                                                                fatídico
✓ to die (starts with f)                                                             fallecer
✓ the prison                                                                         la cárcel
✓ the event (starts with a)                                                          el acontecimiento
✓ the attempt                                                                        el intento
✓ sadly (starts with p)                                                              penosamente
✓ to survive (starts with p)                                                         pervivir
✓ the subordinate (male) (not subordinado)                                           el subalterno
✓ the breath (starts with a)                                                         el aliento
✓ the prisoner (starts with r) (feminine)                                            la rea
✓ to restore (sounds a bit like the english)                                         restaurar
✓ to work (starts with L)                                                            laborar
✗ to overrun (starts with a)                                                         avasallar
✓ ashen (feminine)                                                                   cenicienta
✓ to examine/search (starts with r)                                                  registrar
✓ the act of contrition                                                              el acto de contrición
✓ the guts (like "entrails")                                                         las entrañas
✗ by means of (starts with m)                                                        mediante
✓ to break out (starts with d)                                                       desembocar
✓ to bring to light (3 words) (starts with poner)                                    poner de manifiesto
✓ to come to light                                                                   salir a la luz
✓ to condemn                                                                         condenar
✗ failed (feminine)                                                                  fallida
✓ to break out (starts with e)                                                       estallar
✓ ghostly                                                                            fantasmal
✓ the uprising (starts with a)                                                       el alzamiento
✓ the resource                                                                       el recurso
✓ the cart (in mexican this means "car")                                             el carro
✗ to provide (starts with s)                                                         suministrar
✓ the nickname                                                                       el apodo
✓ to fly over                                                                        sobrevolar
✓ the expectation                                                                    la expectiva
✓ the corpse                                                                         el cadáver
✓ as, given that (2 words) (starts with p)                                           puesto que
✓ failed (masculine)                                                                 fallido
✓ the avenue (it's not avenida)                                                      la alameda
✗ the forge                                                                          la fragua
✓ the early hours                                                                    la madrugada
✓ season (1 word) (starts with t)                                                    la temporada
✗ the squad                                                                          el pelotón
✓ the burial mound                                                                   el túmulo
✓ the violation                                                                      la violación
✓ to show (starts with a)                                                            asomar
✓ to return (starts with r)                                                          regresar
✓ the working class (starts with o)                                                  el obrero
✓ to reestablish                                                                     restablecer
✓ to lead/to head                                                                    encabezar
✓ the preist (starts with s)                                                         el sacerdote
✓ peacefully (starts with p) (adjective ends in e)                                   pacíficamente
✓ to stand out                                                                       destacar
✓ the prisoner (starts with p) (masculine)                                           el preso
✗ the strike                                                                         la huelga
✓ the lead (the metal)                                                               el plomo
✓ to cause (starts with p)                                                           provocar
✓ to fail (starts with "fal")                                                        fallar
✗ relentless (no gender) (starts with i)                                             implacable
✓ the grave (starts with f)                                                          la fosa
✓ the army (starts with e)                                                           el ejército
✗ the dismantling                                                                    el desmantelamiento
✗ to burn (starts with a)                                                            arder
✗ the overthrow                                                                      el derrocamiento
✓ the traitor (female)                                                               la traidora
✓ the dubbing (giving something a name)                                              el doblaje
✓ the executioner (female)                                                           la verduga
✓ on the eve of                                                                      en vísperas de
✗ to withdraw                                                                        retirar
✓ to sign                                                                            firmar
✓ the dramatist (female)                                                             la dramaturga
✗ the location (starts with p)                                                       el paradero
✓ the fall                                                                           la caída
✓ to fight for                                                                       luchar por
✓ heir/successor (female)                                                            la heredera
✓ the traitor (male)                                                                 el traidor
✓ ashen (masculine)                                                                  ceniciento
✓ the anvil                                                                          el yunque
✓ distant (masculine)                                                                lejano
✓ the penalty, sentence                                                              la pena
✓ the currency (same as "coins")                                                     la moneda
✗ the regime                                                                         el régimen
✓ the criminal charge (2 words)                                                      el cargo penal
✓ the permanence/remaining                                                           la permanencia
✓ to kidnap (starts with s)                                                          secuestrar
✓ to hide (reflexive) (starts with e)                                                esconderse
✓ the flight (starts with f)                                                         la fuga
✓ the farm/estate                                                                    la hacienda
✓ to launder                                                                         blanquear
✓ to become (starts with h) (reflexive)                                              hacerse
✓ to ask for (to solicit)                                                            solicitar
✓ the extract                                                                        el fragmento
✓ last (it's "postre" with an extra letter)                                          postrer
✓ to take advantage of                                                               aprovechar
✗ to shake/disturb                                                                   sacudir
✗ subsequent (starts with p)                                                         posterior
✓ to pray                                                                            rezar
✓ to be wrong (reflexive)                                                            equivocarse
✓ the self-rule                                                                      la autonomía
✓ the pavement                                                                       la acera
✓ the surrender                                                                      la rendición
✓ the (metaphorical) damage (e.g to a reputation) (starts with p)                    el perjuicio
✓ unexpected (masculine)                                                             improvisto
✓ to revive (it's reavivar) (there are like 5 synonyms for this all starting with r) reavivar
✓ fateful (feminine)                                                                 fatídica
✓ to catch fire (reflexive)                                                          prenderse fuego
✓ the gun (starts with f)                                                            el fusil
✓ the leadership                                                                     el liderazgo
✓ to face                                                                            enfrentar
✓ to flee                                                                            huir
✓ controversial (masculine)                                                          controvertido
✓ to put before                                                                      anteponer
✓ the opponent (like "opposition")                                                   el opositor
