cards from: /Users/luna/subject-resources/sixth-form/cards/languages/spanish/a2-aqa/unit6.txt
Round 1:
✓ the dictatorship                                              la dictadura
✓ the employees (starts with em) (female)                       las empleadas
✓ illegal (starts with c) (masculine)                           clandestino
✓ the spoils of war                                             el botín de guerra
✓ to sentence (starts with c)                                   condenar
✓ come to and end, dissolved (feminine)                         disuelta
✓ to punish (starts with p, has a after the word) (reflexive)   penarse a
✓ the hierarchy                                                 la jerarquía
✓ the permission                                                el permiso
✓ the key (starts with c)                                       la clave
✓ to outrage (starts with i)                                    indignar
✓ to hound (same as "to bully")                                 acosar
✓ the detractors (female)                                       las detractoras
✓ the placard/banner                                            la pancarta
✓ to march (also "to parade")                                   desfilar
✓ the equality                                                  la igualdad
✓ unionised (feminine)                                          sindicalizada
✓ to be in charge of (reflexive)                                encargarse de
✓ the picket                                                    el piquete
✓ come to and end, dissolved (masculine)                        disuelto
✓ to fight (starts with L)                                      luchar
✓ the crime (starts with d)                                     el delito
✓ the salary (starts with su)                                   el sueldo
✓ to mobilise (reflexive)                                       movilizarse
✓ the member (like "afiliated") (male)                          el afiliado
✓ the eviction                                                  el desahucio
✓ to negotiate (starts with d, like "dialogue")                 dialogar
✓ to encourage (starts with a)                                  animar
✓ to join up (starts with a) (reflexive)                        apuntarse
✓ the worker (female)                                           la obrera
✓ to defend (starts with d)                                     defender
✓ to tie                                                        atar
✓ the managers (starts with d)                                  los dirigentes
✓ to prevent (like "impede")                                    impedir
✓ the mayor (female)                                            la alcaldesa
✓ the outbreak (of a conflict) (starts with e)                  el estallido
✓ the members (like "afiliated") (male)                         los afiliados
✓ the support (starts with "ap")                                el apoyo
✓ the field of work                                             el ámbito laboral
✓ the MP (female)                                               la diputada
✓ to retire (reflexive)                                         jubilarse
✓ to disappear                                                  desaparecer
✓ to protest (like "protest")                                   protestar
✓ the protestors (starts with m) (noun ends in e) (female)      las manifestantes
✓ the membership (like "afiliation")                            la afiliación
✓ to demand (starts with e)                                     exigir
✓ the businesses (starts with n)                                los negocios
✓ to tweet                                                      tuitear
