cards from: /Users/luna/subject-resources/sixth-form/cards/languages/spanish/a2-aqa/unit3.txt
Round 1:
✓ related to (feminine)                                             relacionada con
✓ the puerto ricans                                                 los puertoriqueños
✓ clinging (starts with a) (masculine)                              aferrado
✓ the score (of 20)                                                 la veintena
✓ to pursue/to prosecute                                            perseguir
✓ the housing (starts with v)                                       la vivienda
✓ the myth                                                          el mito
✓ to monitor                                                        vigilar
✓ deep-rooted, entrenched (feminine)                                arraigada
✓ to hand over (starts with e)                                      entregar
✓ the witch                                                         la bruja
✓ the burst of laughter                                             la carcajada
✓ the deviation                                                     la desviación
✓ to come into force (a law)                                        entrar en vigor
✓ appreciated (starts with p) (feminine)                            preciada
✓ the court (starts with t)                                         el tribunal
✓ the right (to do something)                                       el derecho
✓ the spring (place name) (starts with F)                           la Fuentecilla
✓ the luck                                                          la suerte
✓ prominent (like "emblematic") (feminine)                          emblemática
✓ to reject                                                         rechazar
✓ the mix                                                           la mezcla
✓ the godmother                                                     la madrina
✓ the hit from a stone (starts with pe)                             la pedrada
✓ to underline                                                      subrayar
✓ unusual (starts with s)                                           singular
✓ state (adjective form)                                            estatal
✓ appreciated (starts with p) (masculine)                           preciado
✓ to pay attention to (3 words starts with h)                       hacer caso a
✓ to weaken                                                         debilitar
✓ to school, to teach, provide regular schooling                    escolarizar
✓ to experience                                                     experimentar
✓ harmoniously (adjective ends in e)                                armónicamente
✓ to stigmatise                                                     estigmatizar
✓ to tend to                                                        tender a
✓ self-government                                                   el autogobierno
✓ to shiver (starts with "ti")                                      tiritar
✓ the thumps                                                        los golpes
✓ the supporter (starts with p) (male)                              el partidario
✓ the apostasy                                                      la apostasía
✓ committed to (has "a" after the word) (masculine)                 comprometido a
✓ the convert (feminine)                                            la conversa
✓ the candle (starts with c)                                        el cirio
✓ the ceasefire                                                     el alto el fuego
✓ the magic, sorcery                                                el sortilegio
✓ throughout (4 words) (1st word starts with a)                     a lo largo de
✓ humble (adjective ends in e)                                      humilde
✓ the religion (starts with c)                                      el culto
✓ leant on, leaning on (feminine)                                   apoyada en
✓ to condemn                                                        condenar
✓ the belief                                                        la creencia
✓ to convene (starts with "con")                                    convocar
✓ to encourage/to induce                                            inducir a
✓ to enroll (reflexive) (starts with m)                             matricularse
✓ the moor (person) (female)                                        la mora
✓ the success                                                       el éxito
✓ to restrict                                                       restringir
✓ the performance (starts with r)                                   el rendimiento
✓ the asylum                                                        el asilo
✓ to institute                                                      instituir
✓ second hand                                                       de segunda mano
✓ to pretend (starts with f)                                        fingir
✓ the mayor (male)                                                  el alcalde
✓ retired (feminine)                                                jubilada
✓ clinging (starts with a) (feminine)                               aferrada
✓ spread, distributed (starts with r) (feminine)                    repartida
✓ the politicians (male)                                            los políticos
✓ in fact                                                           de hecho
✓ from orihuela (masculine)                                         oriolano
✓ the challenge (starts with d)                                     el desafío
✓ inclusive (masculine ends in r) (masculine)                       integrador
✓ leant on, leaning on (masculine)                                  apoyado en
✓ to avoid (starts with "evi")                                      evitar
✓ the order (starts with m)                                         el mandato
✓ to attend, to frequent (a place) (starts with f)                  frecuentar
✓ to confer                                                         conferir
✓ to enrich                                                         enriquecer
✓ the site, location, summons (to appear in court) (starts with e)  el emplazamiento
✓ to register (like "inscribe") (reflexive) (starts with i)         inscribirse
✓ the fortune telling (like "divination")                           la adivinación
✓ to show off clothes, wear them for the first time                 estrenar
✓ to hurry (refelxive) (starts with a)                              apresuarse
✓ the roll/register                                                 el padrón
✓ to remember (starts with r)                                       recordar
✓ the noose                                                         la soga
✓ the MP (male)                                                     el diputado
✓ to enlarge (starts with e)                                        engrandecer
✓ the façade                                                        la fachada
✓ to lack (2 words starts with c)                                   carecer de
✓ to reduce (starts with "dis")                                     disminuir
✓ to harass, to bully (starts with a)                               acosar
✓ to complain (reflexive)                                           quejarse
✓ to predominate (starts with "pri")                                primar
✓ to set off for (reflexive)                                        dirigirse a
✓ the level                                                         el nivel
✓ to retire (reflexive)                                             jubilarse
✓ the surgeon (female)                                              la cirujana
✓ the guatemalans                                                   los guatemaltecos
✓ the mayor (female)                                                la alcaldesa
✓ to try (in a case)                                                procesar
