cards from: /Users/luna/subject-resources/sixth-form/cards/languages/spanish/a2-aqa/unit2.txt
Round 1:
✓ the profile                                             el perfil
✓ to debate                                               debatir
✓ to make aware (starts with s)                           sensibilizar
✗ to beat (3 words)                                       dar/propinar una paliza
✗ to come from (starts with p)                            proceder de
✓ the poster                                              el cartel
✓ to beg (starts with p, 2 words)                         pedir limosna
✓ the prison                                              la cárcel
✓ to promote (starts with "promov")                       promover
✓ to pay attention                                        prestar atención
✓ the crime rate                                          la criminalidad
✓ the confrontation                                       el enfrentamiento
✓ the slogan (starts with L)                              el lema
✓ xenophobic outbreak                                     el brote xenófobo
✓ to record (starts with "gr")                            grabar
✓ the hate crime                                          el delito de odio
✓ to deserve                                              merecer
✓ the judge (female)                                      el jueza
✓ the football fan (male)                                 el hincha
✓ the court/tribunal                                      el juzgado
✓ to attack, to assault                                   agredir
✓ the (criminal) sentence (starts with "con")             la condena
✓ shameful (starts with v) (masculine)                    vergonzoso
✗ the house arrest                                        el arresto domiciliario
✓ to restrict (starts with "res")                         restringir
✓ the measure                                             la medida
✓ to threaten                                             amenazar
✓ to warn (starts with a)                                 avisar
✗ blind (masculine)                                       ciego
✓ to commit a crime (starts with deli)                    delinquir
✓ to express rejection                                    expresar el rechazo
✗ to discourage                                           desalentar
✓ to shout                                                gritar
✓ the crime (starts with "delin")                         la delincuencia
✓ the suffering (starts with s)                           el sufrimiento
✓ to stereotype                                           estereotipar
✓ the restraining order                                   la orden de alejamiento
✗ to compensate (starts with i)                           indemnizar
✓ to protest (starts with "man") (reflexive)              manifestarse
✓ to provide with                                         proporcionar
✓ on purpose                                              a propósito
✓ to penalise                                             penalizar
✓ to jail                                                 encarcelar
✓ the field                                               el ámbito
✓ to make aware (starts with c)                           concienciar
✓ the slum dweller (female)                               la chabolista
✓ to disclose, make public (starts with "di")             divulgar
✓ to laugh at (reflexive)                                 reírse de
✓ to give a fine                                          poner una multa
✓ jewish (masculine)                                      judío
✓ to approach (reflexive)                                 acercarse
✓ shameful (starts with v) (feminine)                     vergonzosa
✗ to grant (starts with c)                                conceder
✓ the crime                                               el delito
✓ to sentence, to condemn                                 condenar
✓ to eradicate                                            erradicar
✓ to make aware, mentally prepare (starts with m)         mentalizar
✓ skinhead                                                la cabeza rapada
✓ the football fan (female)                               la hincha
✓ to be aware of (3 words)                                ser consciente de
✓ the alcohol test                                        el control de alcoholemia
✓ to force (starts with o)                                obligar
✓ the minor offence                                       la infracción leve
✓ the spokeswoman                                         la portavoz
✓ to impose                                               imponer
✗ to sing racist chants                                   entonar cantos racistas
✓ deaf (masculine)                                        sordo
✓ to put up with, to tolerate                             aguantar
✓ the weapon                                              el arma
✓ to get rid of (starts with d 2 words) (reflexive)       deshacerse de
✓ narrow minded                                           de mente cerrada
✓ disabled (starts with m) (feminine)                     minusválida
✗ the grandstand                                          la grada
✓ the NGO                                                 la ONG
✓ to put together a campaign                              montar una campaña
✓ leaflet                                                 el folleto
✓ disabled (starts with d) (masculine)                    discapacitado
✓ the CCTV camera                                         la cámara de vigilancia
✗ the (short) story (starts with r)                       el relato
✓ to behave (starts with c) (reflexive)                   comportarse
✓ the life sentence                                       la cadena perpetua
✓ to become aware (reflexive)                             concienciarse
✓ to refuse to (reflexive)                                negarse a
✓ the attacker (female)                                   la agresora
✓ to bully, to harass                                     acosar
✓ to encourage something (starts with f)                  fomentar
✓ to sentence (starts with s)                             sentenciar
✓ shocked (starts with "an") (feminine)                   anonadada
✓ to applaud                                              aplaudir
✓ to harm/to be detrimental (starts with p)               perjudicar
✓ to remove, take away (starts with q)                    quitar
✓ to bear in mind (3 words)                               tener en cuenta
✓ to mix with one another (reflexive)                     mezclarse
✓ to encourage (starts with "al")                         alentar
✓ to offend, to insult (starts with u)                    ultrajar
✓ to reproach                                             reprochar
✓ blind (feminine)                                        ciega
✓ jewish (feminine)                                       judía
✓ to encourage someone                                    animar a
✓ alarming (adjective ends in e)                          alarmante
✓ chilling (adjective ends in e)                          escalofriante
✓ to beg (starts with m)                                  mendigar
✓ to frighten (starts with "as")                          asustar
✓ the warning, eprimand (starts with "am")                la amonestación
✓ to disgust                                              asquear
✓ the muslim                                              el musulmán
✓ to punish                                               castigar
✓ ban, prohibition                                        la prohibición
✓ to be witness to (3 words)                              ser testigo de
✓ to announce/to advertise (starts with "an")             anunciar
✓ to apologise (starts with d) (reflexive)                disculparse
✗ the harassment/poor treatment                           las vejaciones
✓ to fear                                                 temer
✓ to hit                                                  golpear
✓ the challenge (starts with d)                           el desafío
✓ the hooligan (female)                                   la gamberra
✗ the slap                                                la bofetada
✓ to face, to confront (has a after the word) (reflexive) enfrentarse a
✓ the behaviour (starts with com)                         el comportamiento
✓ the thief (female)                                      el ladrona
✗ the benefits (starts with p)                            las prestaciones
✓ limited/scarce (feminine)                               escasa
✓ to support (starts with r)                              respaldar
✓ the push                                                el empujón
✓ to exclude                                              excluir
✓ to overcome (starts with s)                             superar
✓ shocked (starts with "an") (masculine)                  anonadado
✓ to combat (starts with "com")                           combatir
✓ to save (someone) (starts with s)                       salvar
✓ to make fun of                                          burlarse de
✗ the warning                                             el aviso
✓ the lead singer (male)                                  el vocalista
✓ disabled (starts with m) (masculine)                    minusválido
✓ to reject                                               rechazar
✓ the banner (starts with p)                              la pancarta
✓ the arrest                                              la detención
✓ limited/scarce (masculine)                              escaso
