cards from: /Users/luna/subject-resources/sixth-form/cards/languages/spanish/a2-aqa/unit3.txt
Round 1:
✓ the noose                                                         la soga
✓ to bear in mind                                                   tener en cuenta
✓ the spring (place name) (starts with F)                           la Fuentecilla
✓ from orihuela (masculine)                                         oriolano
✓ committed to (has "a" after the word) (masculine)                 comprometido a
✓ verifiable (adjective ends in e)                                  verificable
✓ facing (3 words)                                                  de cara a
✓ the candle (starts with c)                                        el cirio
✓ the surgeon (female)                                              la cirujana
✓ prominent (starts with e) (masculine)                             emblemático
✓ to get close, to approach (reflexive) (starts with "ac")          acercarse
✓ uninhabited (masculine)                                           deshabitado
✓ to provide (starts with "pro")                                    proporcionar
✓ together (masculine)                                              juntos
✓ to complain (reflexive)                                           quejarse
✓ the surgeon (male)                                                el cirujano
✓ the workshop                                                      el taller
✓ the scorn (starts with e)                                         el escarnio
✓ to enroll (reflexive) (starts with m)                             matricularse
✓ from orihuela (feminine)                                          oriolana
✓ to run the risk                                                   correr el riesgo
✓ to lower                                                          rebajar
✓ to reject                                                         rechazar
✓ from alicante (masculine)                                         alicantino
✓ welcoming (feminine)                                              acogedora
✓ the godmother                                                     la madrina
✓ welcoming (masculine)                                             acogedor
✓ the score (of 20)                                                 la veintena
✓ to put a stop to (3 words) (last word is "a")                     poner remedio a
✓ to pretend (starts with f)                                        fingir
✓ to bet on                                                         apostar por
✓ foreign (feminine)                                                extranjera
✓ to double (like "duplicate")                                      duplicar
✓ to underline (starts with "su")                                   subrayar
✓ throughout (4 words) (1st word starts with a)                     a lo largo de
✓ the mayor (female)                                                la alcaldesa
✓ to shiver (starts with "ti")                                      tiritar
✓ the fasting                                                       el ayuno
✓ to pursue/to prosecute                                            perseguir
✓ to harass, to bully (starts with a)                               acosar
✓ retired (feminine)                                                jubilada
✓ to fail (starts with "fra")                                       fracasar
✓ to weaken                                                         debilitar
✓ to tend to                                                        tender a
✓ to deviate                                                        desviar
✓ to experience                                                     experimentar
✓ the salvadorians                                                  los salvadoreños
