cards from: /Users/luna/subject-resources/sixth-form/cards/languages/spanish/a2-aqa/unit6.txt
Round 1:
✓ to sack                                                       despedir
✓ to negotiate (starts with d, like "dialogue")                 dialogar
✓ the field of work                                             el ámbito laboral
✓ to fight (starts with L)                                      luchar
✓ the headquarters                                              la sede
✓ the protestors (starts with m) (noun ends in e) (female)      las manifestantes
✓ the picket                                                    el piquete
✓ the force (starts with f)                                     la fuerza
✓ to disappoint, to let down                                    decepcionar
✓ the placard/banner                                            la pancarta
✓ the unemployed people (male)                                  los desempleados
✓ to tweet                                                      tuitear
✓ the unemployment (starts with p)                              el paro
✓ come to and end, dissolved (feminine)                         disuelta
✓ to promote (ends in "-ver")                                   promover
✗ to appeal                                                     apelar
✓ to make aware (starts with c)                                 concienciar
✓ to oppose to (reflexive)                                      oponerse a
✗ to intimidate (starts with a)                                 amedrentar
✓ to take advantage of (reflexive) (has "de" after the word)    aprovecharse de
✓ the worker (female)                                           la obrera
✓ the key (starts with c)                                       la clave
✓ to march (also "to parade")                                   desfilar
✓ to disappear                                                  desaparecer
✓ to retire (reflexive)                                         jubilarse
✓ to crush (like "un-inflate")                                  desinflar
✓ to defend (starts with d)                                     defender
✗ the eviction                                                  el desahucio
✓ to outrage (starts with i)                                    indignar
✓ involved (masculine)                                          involucrado
✓ the risk                                                      el riesgo
✓ the strike                                                    la huelga
✓ to make an effort (starts with e) (reflexive)                 esforzarse
✗ the uprising (starts with L)                                  el levantamiento
✓ to punish                                                     castigar
✓ illegal (starts with c) (masculine)                           clandestino
✓ the unfurling                                                 el despliegue
✓ the unemployed people (female)                                las desempleadas
✓ the outbreak (of a conflict) (starts with e)                  el estallido
✓ to contribute (starts with a)                                 aportar
✓ to hound (same as "to bully")                                 acosar
✓ to blame (starts with c)                                      culpar
✓ the detractors (male)                                         los detractores
✓ to cause (starts with p, like "provoke")                      provocar
✓ the trade union                                               el sindicato
✓ the shame (starts with v)                                     la vergüenza
✓ to threaten                                                   amenazar
✓ the impunity                                                  la impunidad
