cards from: /Users/luna/flash-cards/languages/spanish/aqa/GCSE/unit1.txt
Round 1:
✓ someone                                                          alguien
✓ the retired person, pensioner (masculine)                        el jubilado
✓ open (masculine)                                                 abierto
✓ to change                                                        cambiar
✓ to forget                                                        olvidar
✓ to cause (starts with p, like "provoke")                         provocar
✓ disappointed (feminine)                                          decepcionada
✓ the widow                                                        la vidua
✓ unfairly (adjective ends in e)                                   injustamente
✓ the skin                                                         la piel
✓ face to face                                                     cara a cara
✓ mature (masculine)                                               maduro
✓ sad (adjective ends in e)                                        triste
✓ to bear, to put up with (starts with a)                          aguantar
✓ the user (feminine)                                              la usuaria
✓ the freedom                                                      la libertad
✓ dangerous (feminine)                                             peligrosa
✓ the sense of humor                                               el sentido del humor
✓ single (feminine)                                                soltera
✓ the partner (starts with p)                                      la pareja
✓ understanding, sympathetic (feminine)                            comprensiva
✓ the argument (like "discussion")                                 la discusión
✓ next (starts with p) (masculine)                                 próximo
✓ the fight (starts with p)                                        la pelea
✓ together (feminine)                                              juntas
✓ fun, good fun (feminine)                                         divertida
✓ alone, only (feminine)                                           sola
✓ strong (adjective ends in e)                                     fuerte
✓ to hear about (2 verbs and de on the end)                        oír hablar de
✓ understanding, sympathetic (masculine)                           comprensivo
✓ lazy (feminine)                                                  perezosa
✓ the home                                                         el hogar
✓ to tidy (starts with a)                                          arreglar
✓ on the other hand                                                por otro lado
✓ currently, nowadays (starts with a)                              actualmente
✓ the nephew                                                       el sobrino
✓ fed up (feminine)                                                harta
✓ certian, sure (feminine)                                         segura
✓ certian, sure (masculine)                                        seguro
✓ the others (feminine)                                            las demás
✓ dangerous (masculine)                                            peligroso
✓ jealous (masculine)                                              celoso
✓ mature (feminine)                                                madura
✓ to bear, to put up with (starts with s)                          soportar
✓ to treat                                                         tratar
✓ alone, only (masculine)                                          solo
✓ to agree (literally: "to be of agreement")                       estar de acuerdo
✓ jealous (feminine)                                               celosa
✓ in the first place, firstly                                      en primer lugar
✓ the party, festival                                              la fiesta
✓ so, therefore (2 words starts with a)                            así que
✓ the niece                                                        la sobrina
✓ honest (feminine)                                                honrada
✓ disappointed (masculine)                                         decepcionado
✓ to find (starts with e)                                          encontrar
✓ to know a person or place                                        conocer
✓ the others (masculine)                                           los demás
✓ the generation gap                                               la barrera generacional
✓ nowadays (3 words)                                               hoy en día
✓ proud (feminine)                                                 orgullosa
✓ same (adjective starts with m) feminine)                         misma
✓ the affection                                                    el cariño
✓ the argument (like "dispute")                                    la disputa
✓ selfish (always ends in the same vowel)                          egoísta
✓ to laugh (reflexive)                                             reírse
✓ to tend to                                                       tender a
✓ similar (starts with p) (masculine)                              parecido
✓ sensitive (adjective ends in e)                                  sensible
✓ together (masculine)                                             juntos
✓ now                                                              ahora
✓ the wedding (starts with c)                                      el casamiento
✓ the way (starts with m)                                          la manera
✓ still (adverb) (starts with t)                                   todavía
✓ talkative (feminine)                                             habladora
✓ single (masculine)                                               soltero
✓ honest (masculine)                                               honrado
✓ against                                                          en contra de
✓ the thing                                                        la cosa
✓ the team (starts with e)                                         el equipo
✓ often (2 words)                                                  a menudo
✓ to look after                                                    cuidar
✓ different (like "distinct") (masculine)                          distinto
✓ lazy (masculine)                                                 perezoso
✓ the wedding (starts with b)                                      la boda
✓ the place (starts with s)                                        el sitio
✓ therefore (2 words starts with p)                                por eso
✓ proud (masculine)                                                orgulloso
✓ the user (masculine)                                             el usuario
✓ naughty (feminine)                                               traviesa
✓ next (starts with p) (feminine)                                  próxima
✓ to get married (reflexive)                                       casarse
✓ talkative (masculine)                                            hablador
✓ the widower                                                      el viduo
✓ to annoy, to bother (starts with f)                              fastidar
✓ fun, good fun (masculine)                                        divertido
✓ to pay                                                           pagar
✓ naughty (masculine)                                              travieso
✓ to be happy about (reflexive)                                    alegrarse de
✓ different (like "distinct") (feminine)                           distinta
✓ to advise                                                        aconsejar
✓ the retired person, pensioner (feminine)                         la jubilada
✓ the summer                                                       el verano
✓ the colleague, friend (masculine)                                el compañero
✓ the blame, fault                                                 la culpa
✓ the happiness (starts with f)                                    la felicidad
✓ open (feminine)                                                  abierta
✓ fed up (masculine)                                               harto
✓ to look for                                                      buscar
✓ the advice                                                       el consejo
✓ same (adjective starts with m) (masculine)                       mismo
✓ the colleague, friend (feminine)                                 la compañera
✓ similar (starts with p) (feminine)                               parecida
✓ to write                                                         escribir
✓ even (e.g even the road melts in the summer, not just ice cream) incluso
✓ to bother, annoy (starts with m)                                 molestar
✓ the age                                                          la edad
✓ to be lucky                                                      tener suerte
Score: 117/117 (100.0%)

No. terms in the card set = 117
highest_streak = 117
perfect_streak = True
