cards from: /Users/luna/flash-cards/languages/spanish/aqa/GCSE/unit2.txt
Round 1:
✓ the development                                        el desarrollo
✓ to choose (starts with "esc")                          escoger
✓ brilliant, great                                       genial
✓ the follower (female)                                  la seguidora
✓ the hard drive                                         el disco duro
✓ to delete, erase (starts with b)                       borrar
✓ the boss (masculine)                                   el jefe
✓ in my opinion (literally: "in my judgement")           en mi juicio
✓ the spam, junk mail                                    el correo basura
✓ to take photos (1st word starts with s)                sacar fotos
✓ the file                                               el archivo
✓ free of charge (ends with s)                           gratis
✓ neither, nor                                           tampoco
✓ to send (starts with m)                                mandar
✓ the social media (this is a plural concept in spanish) los medios sociales
✓ until                                                  hasta
✓ the advantage (starts with v)                          la ventaja
✓ to worry (reflexive)                                   preocuparse
✓ the disadvantage (starts with d)                       la desventaja
✓ unfortunately (2 words)                                por desgracia
✓ to be successful                                       tener éxito
✓ to excite (starts with "apa")                          apasionar
✓ the exact opposite                                     todo lo contrario
✓ any (masculine)                                        cualquier
✓ the tablet                                             la tableta
✓ the chat room                                          la sala de chat
✓ essential (adjective ends in e)                        imprescindible
✓ to have a good time (reflexive)                        divertirse
✓ to improve                                             mejorar
✓ the computer (starts with o)                           el ordenador
✓ the laptop                                             el ordenador portátil
✓ instead of (literally: "in time of")                   en vez de
✓ to chat online                                         chatear
✓ to send (starts with e)                                enviar
✓ the magazine                                           la revista
✓ to answer                                              contestar
✓ to run                                                 correr
✓ the letter of the alphabet                             la letra
✓ the mobile/smartphone                                  el móvil
✓ the follower (male)                                    el seguidor
✓ same (starts with i)                                   igual
✓ to send best wishes, to congratulate                   felicitar
✓ to realise (3 words with de on the end) (reflexive)    darse cuenta de
✓ from time to time                                      de vez en cuando
✓ to share (starts with c)                               compartir
✓ the user (male)                                        el usuario
✓ the behaviour (starts with "com")                      el comportamiento
✗ still (starts with a)                                  aún
✓ interactive (feminine)                                 interactiva
✓ low (masculine)                                        bajo
✓ the signal                                             la señal
✓ to start, begin                                        empezar
✓ to walk                                                andar
✓ the fact                                               el hecho
✓ unfortunately (1 word) (ends in e)                     desafortunadamente
✓ even (starts with a)                                   aun
✓ interactive (masculine)                                interactivo
✓ to bully (starts with a)                               acosar
✓ the digital magazine                                   la revista digital
✓ the boss (feminine)                                    la jefa
✓ the credit card                                        la tarjeta de crédito
✓ as far as i'm concerned (3 words)                      por mi parte
✓ to be able to                                          poder
✓ low (feminine)                                         baja
✓ any (feminine)                                         cualquiera
✓ the bullying (starts with a)                           el acoso
✓ to load (starts with c)                                cargar
✓ the best wishes, congratulations                       las felicidades
✓ simple (masculine)                                     sencillo
✓ the drawback, disadvantage (starts with i)             el inconveniente
✓ rarely (2 words)                                       raras veces
✓ to communicate (reflexive)                             comunicarse
✓ the song                                               la canción
✓ to offer                                               ofrecer
✓ to feel (with touch)                                   sentir
✓ the space                                              el espacio
✓ free of charge (ends in a) (feminine)                  gratuita
✓ the wireless connection                                la conexión inalámbrica
✓ the risk                                               el riesgo
✓ simple (feminine)                                      sencilla
✓ the technology                                         la tecnología
✓ free of charge (ends in o) (masculine)                 gratuito
✓ the user (female)                                      la usuaria
Score: 82/83 (98.79518072289156%)

Round 2:
✗ still (starts with a)                                  aún
Score: 0/1 (0.0%)

Round 3:
✓ still (starts with a)                                  aún
Score: 1/1 (100.0%)

No. terms in the card set = 83
highest_streak = 47
perfect_streak = False
