cards from: /Users/luna/flash-cards/languages/spanish/aqa/GCSE/unit3.txt
Round 1:
✓ delicious, tasty (masculine)                              rico
✓ the fish                                                  el pescado
✓ the soup                                                  la sopa
✓ the squid                                                 el calamar
✓ fun (feminine)                                            divertida
✓ therefore, so (2 words, starts with p)                    por eso
✓ the tournament                                            el torneo
✓ spicy (adjective ends in e)                               picante
✓ attentive (masculine)                                     atento
✓ to follow                                                 seguir
✓ the sandwhich (oval shaped, not square)                   el bocadillo
✓ any (masculine)                                           cualquier
✓ so much, so many (feminine)                               tanta
✗ indian (masculine)                                        indio
✓ the player (male)                                         jugador
✓ to develop                                                desarrollar
✗ nice (this word is used to describe a person) (masculine) simpático
✗ to rest                                                   descansar
✓ to train                                                  entrenar
✓ to leave, to let, to allow                                dejar
✓ the match                                                 el partido
✓ the red wine                                              el vino tinto
✓ hard (feminine)                                           dura
✗ the green beans                                           las judías verdes
✓ the member (masc and fem both end in o) (feminine)        la miembro
✓ the luck                                                  la suerte
✓ boring (feminine)                                         aburrida
✓ to choose (starts wtih es)                                escoger
✓ the exercise                                              el ejercicio
✓ the rock climbing                                         el alpinismo
✓ the taste                                                 el gusto
✓ in the open air, outdoors                                 al aire libre
✗ the lunch, food, meal                                     la comida
✓ so much, so many (masculine)                              tanto
✓ silly, stupid (masculine)                                 tonto
✓ balanced (masculine)                                      equilibrado
✓ entertaining (masculine)                                  entretenido
✗ pleasant (adjective ends in e)                            agradable
✓ in general                                                por lo general
✓ the marriage (starts with m)                              el matrimonio
✓ the temptation                                            la tentación
✓ the others (masculine)                                    los demás
✓ to retire                                                 jubilarse
✓ hard (masculine)                                          duro
✓ the glass                                                 el vaso
✓ to rely on                                                contar con
✓ the time, occasion                                        la vez
✗ the pulses                                                los legumbres
✓ daily, every day                                          diariamente
✓ the banana                                                el plátano
✓ the beer                                                  la cerveza
✓ the butter                                                la mantequilla
✓ the mushrooms                                             los champiñones
✓ the champion (female)                                     la campeona
✓ the horror                                                el terror
✓ silly, stupid (feminine)                                  tonta
✓ to promote, to encourage (starts with f)                  fomentar
✓ the egg                                                   el huevo
✓ the prawns                                                las gambas
✗ the lamb                                                  el cordero
✓ the cod                                                   el bacalao
✓ the health                                                la salud
✓ the portion, serving                                      la ración
✓ the pork                                                  el cerdo
✓ the drums                                                 la batería
✓ to chat (in person)                                       charlar
✓ the benefit                                               el beneficio
✗ police, detective, crime (adj.) (feminine)                policíaca
✓ the waitress                                              la camarera
✓ healthy (masculine)                                       sano
✓ boring (masculine)                                        aburrido
✓ the cartoons                                              los dibujos animados
✓ the dessert, pudding                                      el postre
✓ police, detective, crime (adj.) (masculine)               policíaco
✓ chinese (masculine)                                       chino
✓ the effort                                                el esfuerzo
✓ any (feminine)                                            cualquiera
✓ the cured ham                                             el jamón serrano
✓ great                                                     genial
✓ fun (masculine)                                           divertido
✓ the tea                                                   el té
✓ to break                                                  romper
✓ sure (masculine)                                          seguro
✗ the loaf (starts with b)                                  la barra
✓ to agree, reach an agreement                              ponerse de acuerdo
✓ to start (sarts with e)                                   empezar
