cards from: /Users/luna/flash-cards/languages/spanish/aqa/GCSE/unit2.txt
Round 1:
✓ the magazine                                 la revista
✓ low (feminine)                               baja
✓ to send (starts with m)                      mandar
✓ the laptop                                   el ordenador portátil
✓ simple (feminine)                            sencilla
✓ to send best wishes, to congratulate         felicitar
✓ the spam, junk mail                          el correo basura
✓ the mobile/smartphone                        el móvil
✓ same                                         igual
✓ unfortunately (ends in e)                    desafortunadamente
✓ the risk                                     el riesgo
✓ to improve                                   mejorar
✓ the tablet                                   la tableta
✓ to be successful                             tener éxito
✓ any                                          cualquier
✓ to bully (starts with a)                     acosar
✓ brilliant, great                             genial
✓ to feel (with touch)                         sentir
✓ free of charge (masculine)                   gratuito
✓ to send (starts with e)                      enviar
✓ the song                                     la canción
✓ the follower (female)                        la seguidora
✓ still (starts with a)                        aún
✓ to offer                                     ofrecer
✓ the disadvantage                             la desventaja
✓ to run                                       correr
✓ the chat room                                la sala de chat
✓ the follower (male)                          el seguidor
✓ to realise (3 words with de on the end)      darse cuenta de
✓ to start, begin                              empezar
✓ neither, nor                                 tampoco
✓ the boss (masculine)                         el jefe
✓ the drawback, disadvantage                   el inconveniente
✓ rarely (2 words)                             raras veces
✓ the exact opposite                           todo lo contrario
✓ instead of (literally: "in time of")         en vez de
✓ the user (male)                              el usuario
✓ essential (adjective ends in e)              imprescindible
✓ to choose                                    escoger
✓ to take photos                               sacar fotos
✓ as far as i'm concerned (3 words)            por mi parte
✓ the space                                    el espacio
✓ the digital magazine                         la revista digital
✓ to share                                     compartir
✓ the technology                               la tecnología
✓ to excite (starts with "-apa")               apasionar
✓ to worry                                     preocuparse
✓ to answer                                    contestar
✓ the development                              el desarrollo
✓ the fact                                     el hecho
✓ in my opinion (literally: "in my judgement") en mi juicio
✓ unfortunately (2 words)                      por desgracia
✓ the best wishes, congratulations             las felicidades
✓ interactive (masculine)                      interactivo
✓ free of charge (ends with s, not a vowel)    gratis
✓ to delete, erase (starts with b)             borrar
✓ the user (female)                            la usuario
✓ simple (masculine)                           sencillo
✓ the advantage                                la ventaja
✓ to chat online                               chatear
✓ free of charge (feminine)                    gratuita
✓ low (masculine)                              bajo
✓ the bullying (starts with a)                 el acoso
✓ to load (starts with c)                      cargar
✗ to have a good time                          divertirse
✓ the boss (feminine)                          la jefa
✓ the social media                             los medios sociales
✓ the file                                     el archivo
✓ to be able to                                poder
✓ the hard drive                               el disco duro
✓ the wireless connection                      la conexión inalámbrica
✓ the credit card                              la tarjeta de crédito
✗ even (starts with a)                         aun
✓ until                                        hasta
✓ the behaviour (masculine noun)               comportamiento
✓ to communicate                               comunicarse
✓ to walk                                      andar
✓ from time to time                            de vez en cuando
✓ the letter of the alphabet                   la letra
✓ the signal                                   la señal
✓ the computer                                 el ordenador
✓ interactive (feminine)                       interactiva
Score: 80/82 (97.5609756097561%)

Round 2:
✓ to have a good time                          divertirse
✓ even (starts with a)                         aun
Score: 2/2 (100.0%)

No. terms in the card set = 82
highest_streak = 64
perfect_streak = False
