cards from: /Users/luna/flash-cards/languages/spanish/aqa/GCSE/unit4.txt
Round 1:
✓ pretty (masculine)                                              bonito
✓ the safety, security                                            la seguridad
✓ the ancestors (female)                                          las antepasadas
✓ awful (starts with f)                                           fatal
✓ to throw                                                        tirar
✓ full (starts with L) (feminine)                                 llena
✓ to watch, to look (starts with m)                               mirar
✓ to win, to earn, to gain                                        ganar
✓ the remains                                                     los restos
✓ to get together (reflexive)                                     reunirse
✓ the one that (feminine)                                         la que
✓ to go to bed (reflexive)                                        acostarse
✓ the theme                                                       el tema
✓ the grave                                                       la tumba
✓ the carpenter (female)                                          la carpintera
✓ straight away                                                   en seguida
✓ to appear                                                       aparecer
✓ old (starts with v) (feminine)                                  vieja
✓ old (starts with a) (masculine)                                 antiguo
✓ only, unique (feminine)                                         única
✓ the family members (male)                                       los familiares
✓ to catch                                                        coger
✓ old (starts with a) (feminine)                                  antigua
✓ the family members (female)                                     las familiares
✓ last (feminine)                                                 última
✓ mine (feminine)                                                 mía
✓ impressive (adjective ends in e)                                impresionante
✓ the competition (starts with "con")                             el concurso
✓ strange (starts with e) (feminine)                              extraña
✓ the present, gift (starts with r)                               el regalo
✓ the souvenir; the memory                                        el recuerdo
✓ to clean                                                        limpiar
✓ the chat people have at the table after a meal                  la sobremesa
✓ hispanic (i.e of the spanish speaking world) (masculine)        hispánico
✓ the origin                                                      el origen
✓ to have a good time                                             pasarlo bien
✓ Greece                                                          Grecia
✓ the custom                                                      la costumbre
✓ to start (starts with c)                                        comenzar
✓ pleasant (adjective ends in e)                                  agradable
✓ the fair (e.g book fair)                                        la feria
✓ full (starts with L) (masculine)                                lleno
✓ several (starts with v) (feminine)                              varias
✓ the noise                                                       el ruido
✓ to employ                                                       contratar
✗ to wake up (reflexive)                                          despertarse
✓ lit (feminine)                                                  encendida
✓ to dress (reflexive)                                            vestirse
✓ uncomfortable (masculine)                                       incómodo
✓ the mess                                                        el desorden
✓ the area, neighbourhood                                         el barrio
✓ to try, to try out (starts with p)                              probar
✓ the square (in a town)                                          la plaza
✓ the parade, procession (starts with d)                          el desfile
✓ the paper                                                       el papel
✓ to get up (reflexive)                                           levantarse
✓ the normality                                                   la normalidad
✓ the battle                                                      la batalla
✓ to go up                                                        subir
✓ dressed up, disguised (feminine)                                disfrazada
✓ completely                                                      completamente
✓ it is hot                                                       hace calor
✓ to hear                                                         oír
✓ only, unique (masculine)                                        único
✓ several (starts with v) (masculine)                             varios
✓ the ancestors (male)                                            los antepasados
✓ the danger                                                      el peligro
✓ the miner (feminine)                                            la minera
✓ to build (starts with c)                                        construir
✓ the spring                                                      la primavera
✓ over (3 words)                                                  por encima de
✓ beautiful (starts with p) (masculine)                           precioso
✓ the city, town                                                  la ciudad
✓ no one                                                          nadie
✓ the Moor (historically a person from North Africa) (male)       el moro
✓ to commemorate                                                  conmemorar
✓ the silver                                                      la plata
✓ sad (adjective ends in e)                                       triste
✓ the procession (starts with p)                                  la procesión
✓ great, amazing (starts with f)                                  fenomenal
✓ the luck                                                        la suerte
✓ to clear the table                                              quitar la mesa
✓ to train oneself (reflexive)                                    entrenarse
✓ the performance                                                 la actuación
✓ the suit, costume                                               el traje
✓ great, fantastic (starts with e) (masculine)                    estupendo
✓ to bother, to annoy (starts with m)                             molestar
✓ strange (starts with e) (masculine)                             extraño
✓ the cementry                                                    el cementerio
✓ the miner (masculine)                                           el minero
✓ the mountain                                                    la montaña
✓ to burn                                                         quemar
✓ the shop                                                        la tienda
✓ to bring                                                        traer
✓ the firefighter (male)                                          el bombero
✓ dressed up, disguised (masculine)                               disfrazado
✓ short (starts with c) (feminine)                                corta
✓ numerous (feminine)                                             numerosa
✓ dead (masculine)                                                muerto
✓ the partner; couple                                             la pareja
✓ the wax                                                         la cera
✓ the festivities                                                 los festejos
✓ apart from                                                      aparte de
✓ the mole sauce                                                  el mole
✓ exciting (adjective ends in e)                                  emocionante
