cards from: /Users/luna/flash-cards/languages/spanish/aqa/A2/unit1.txt
Round 1:
✓ the freedom                                        la libertad
✓ to hit                                             golpear
✓ to cross                                           cruzar
✓ to look for                                        buscar
✓ the wealth                                         la riqueza
✗ the wall/border (starts with v)                    la valla
✓ a host country                                     un país receptor
✓ nevertheless                                       no obstante
✓ the rate of                                        la tasa de
✓ despite                                            a pesar de
✓ the trafficker (male)                              el traficante
✗ to arrest (starts with a)                          apresar
✓ to achieve (starts with L)                         lograr
✓ the journey (starts with "trav")                   la travesía
✓ to retire (reflexive)                              jubilarse
✗ to stay (starts with p)                            permanecer
✓ the immigrants without any documents/papers        los indocumentados
✓ the lack of (starts with f)                        la falta de
✓ to report                                          denunciar
✓ to risk (oneself) (reflexive)                      arriesgarse
✗ to legalise (starts with r)                        regularizar
✓ to go deep into (starts with "ad")                 adentrar
✗ to relocate/to move (starts with t) (reflexive)    trasladarse
✗ the treatment/the agreement                        el trato
✓ to die (starts with f)                             fallecer
✗ the ancestry                                       la ascendencia
✓ to land (2 words 1st word starts with t)           tocar tierra
✓ the social security                                la seguridad social
✓ the threshold                                      el umbral
✓ the equality                                       la igualdad
✓ the war (starts with g not "guerra")               la guerrilla
✓ to provide for                                     mantener a
✓ to pay taxes                                       pagar impuestos
✓ to help (starts with "au")                         auxiliar
✓ to suffer (starts with p)                          padecer
✓ the civil servant (male)                           el funcionario
✓ to get (starts with c)                             conseguir
✓ the spokeswoman                                    la portavoz
✓ to carry on/to follow                              seguir
✗ to lead, to head (starts with d)                   dirigir
✓ the Castro revolution                              la revolución castrista
✓ the journey (starts with "tray")                   el trayecto
✓ the European Union                                 la Unión Europea
✓ to have just (done something)                      acabar de
✓ the risk                                           el riesgo
✓ the boat (starts with e)                           la embarcación
✓ the black market                                   el mercado sumergido
✓ to earn (starts with g)                            ganar
✓ to take refuge (reflexive)                         refugiarse
✓ injured person (male)                              el herido
✓ the political asylum                               el asilo político
✓ to start, to set in motion (3 words)               poner en marcha
✓ the hospitality sector                             la hostelería
✓ coming from (2 words 2nd word is de)               procedente de
✓ to move (starts with "tras")                       trasladar
✓ the legal advice                                   el asesoramiento jurídico
✓ to rescue                                          rescatar
✓ to fall (starts with c)                            caer
✗ to process (paperwork)                             tramitar
✓ to improve                                         mejorar
✓ to survive (starts with s)                         sobrevivir
✓ to live with                                       convivir
✓ to discover                                        descubrir
✗ to drown (reflexive)                               ahogarse
✓ the boom                                           el auge
✓ to contribute (starts with "ap")                   aportar
✗ to enter (starts with i)                           ingresar
✓ the illegal immigrant (female)                     la inmigrante irregular
✓ the quality of life (1st word starts with c)       la calidad de vida
✓ to fight (starts with L)                           luchar
✓ the refugee (male)                                 el refugiado
✓ the brain drain                                    la fuga de cerebros
✓ the foreigner (female)                             la extranjera
✓ the survivor (female)                              la sobreviviente
✓ wave/surge/flood of (3 words starts with o)        la oleada de
✓ to return (starts with "ret")                      retornar
✓ to increase (starts with i)                        incrementar
✓ to push                                            empujar
✓ to carry (starts with "tran")                      transportar
✓ to share (starts with c)                           compartir
✗ the colonies                                       las colonias
✗ the small boat                                     la patera
✓ the survivor (male)                                el sobreviviente
✓ to strengthen/to reinforce                         reforzar
✗ to yearn                                           anhelar
✓ the remittances                                    las remesas
✓ to try your luck                                   probar suerte
✓ to carry out (starts with r)                       realizar
✓ to look after                                      cuidar
✓ to return (starts with "reg")                      regresar
✓ to grow up (also "to grow")                        crecer
✓ the trafficker (female)                            la traficante
✓ to flee (starts with h)                            huir
✓ to sign                                            firmar
✓ to leave (starts with d)                           dejar
✗ the policy (or the politics)                       la política
✓ the GDP                                            el producto interior bruto
✓ native (starts with a) (masculine)                 autóctono
✓ to accept/to embrace, take in                      acoger
✓ to register (starts with e)                        empadronar
✓ to pay                                             pagar
✓ to make ends meet                                  llegar a fin de mes
✓ the links with                                     los lazos con
✗ to waste                                           despilfarrar
✓ the smuggler (female)                              la contrabandista
✓ to leave (starts with m) (reflexive)               marcharse
✓ to highlight (starts with "se")                    señalar
✓ to head to (3 words)                               poner rumbo a
✓ to need (2 words 1st word starts with h)           hacer falta
✗ the support (starts with "arra")                   el arraigo
✓ the residency permit                               el permiso de residencia
✓ the human rights                                   los derechos humanos
✗ the birth rate (4 words)                           la tasa de natalidad
