cards from: /Users/luna/flash-cards/languages/spanish/aqa/A2/unit1.txt
Round 1:
✓ to sign                                            firmar
✓ the survivor (female)                              la sobreviviente
✓ the war (starts with g not "guerra")               la guerrilla
✓ to flee (starts with h)                            huir
✓ suspicious (starts with s) (masculine)             sospechoso
✓ to need (2 words 1st word starts with h)           hacer falta
✓ the destination                                    el destino
✗ to change                                          cambiar
✓ the brain drain                                    la fuga de cerebros
✓ nevertheless                                       no obstante
✓ to look after                                      cuidar
✓ the civil servant (male)                           el funcionario
✓ native (starts with a) (feminine)                  autóctona
✓ injured person (female)                            la herida
✓ to move (starts with "tras")                       trasladar
✓ western (adjective ends in "al")                   occidental
✓ injured person (male)                              el herido
✓ to pay taxes                                       pagar impuestos
✓ the survivor (male)                                el sobreviviente
✓ to earn a living (3 words) (reflexive)             ganarse la vida
✓ to choose (starts with "es")                       escoger
✓ to contribute (starts with "ap")                   aportar
✓ to shout                                           gritar
✓ the rights                                         los derechos
✓ the equality                                       la igualdad
✓ to push                                            empujar
✓ the hunger                                         la hambre
✓ to risk (oneself) (reflexive)                      arriesgarse
✓ the stability                                      la estabilidad
✓ to invest                                          invertir
✓ the lack of (starts with f)                        la falta de
✓ the rate of                                        la tasa de
✓ to travel (starts with v)                          viajar
✓ suspicious (starts with s) (feminine)              sospechosa
✓ to make ends meet                                  llegar a fin de mes
✓ to resort to                                       recurrir
✓ the risk                                           el riesgo
✓ the human rights                                   los derechos humanos
✓ the spokesman                                      el portavoz
✓ the trafficker (female)                            la traficante
✓ the immigrants without any documents/papers        los indocumentados
✓ to enrich                                          enriquecer
✓ the European Union                                 la Unión Europea
✓ to highlight (starts with "se")                    señalar
✓ to return (starts with "reg")                      regresar
✓ the black market                                   el mercado sumergido
✓ to improve                                         mejorar
✓ the native population (last word starts with "au") la población autóctona
✓ the quality of life (1st word starts with c)       la calidad de vida
✓ to live (starts with r)                            residir
✓ to land (2 words 1st word starts with t)           tocar tierra
✓ to leave (starts with m) (reflexive)               marcharse
✓ to suffer (starts with p)                          padecer
✓ to drown (reflexive)                               ahogarse
✓ the press                                          la prensa
✓ native (starts with a) (masculine)                 autóctono
✓ the journey (starts with "trav")                   la travesía
✓ the arrival                                        el arribo
✓ to camp out                                        acampar
✓ the poverty                                        la pobreza
✓ to register (starts with e)                        empadronar
