cards from: /Users/luna/flash-cards/languages/german/university/introductory-german/schritte/end-of-schritte-vocab.txt
Round 1:
✓ you (familiar) are                                  du bist
✓ good morning                                        guten Morgen
✓ awful(ly), terrible, terribly                       furchtbar
✓ Saturday                                            Samstag
✓ it is                                               es ist
✓ today                                               heute
✓ to eat (starts with e)                              essen
✓ is that correct?                                    ist das richtig?
✓ Sunday                                              Sonntag
✓ That comes to...; that costs...                     Das kostet...
✓ the autumn, fall                                    der Herbst
✓ correct(ly); right(ly)                              richtig
✓ great, terrific (starts with t)                     toll
✓ in German                                           auf Deutsch
✓ please repeat that                                  wiederholen Sie das bitte
✓ green                                               grün
✓ your name is... (formal)                            Sie heißen...
✓ the window                                          das Fenster
✓ cool (temperature)                                  kühl
✓ Thursday                                            Donnerstag
✓ super, superb                                       super
✓ it has                                              es hat
✓ red                                                 rot
✓ i don't have time                                   ich habe keine Zeit
✓ tall; big, large                                    groß
✓ how many                                            wie viele
✓ the book                                            das Buch(¨er)
✓ cold (temperature)                                  kalt
✓ to be                                               sein
✓ it is two o'clock                                   es ist zwei Uhr
✓ how do you spell that                               wie schreibt man ...
✓ there                                               da
✓ the cent (of a Euro) (one cent, five cents)         der Cent(s) (ein Cent, fünf Cent)
✓ in the afternoon                                    nachmittags
✓ again, once more (2 words)                          noch einmal
✓ what's your name (formal)                           wie heißen Sie
✓ it's snowing                                        es schneit
✓ we have                                             wir haben
✓ my name is...                                       mein Name ist...
✓ the blackboard                                      die Tafel(n)
✓ (at) quarter past one                               (um) Virtel nach eins
✓ November                                            November
✓ bad(ly) (starts with s)                             schlecht
✓ i don't know                                        ich weiß es nicht
✓ what colour is ...?                                 welche Farbe hat ...?
✓ i think so too                                      Das finde ich auch
✓ (at) half past one                                  (um) halb zwei
✓ very (starts with s)                                sehr
✓ hello (formal)                                      guten Tag
✓ the euro (one euro, ten euros)                      der Euro(s) (ein Euro, zehn Euro)
✓ the jumper (starts with Pulli)                      der Pulli(s)
✓ too (with adjective or adverb)                      zu
✓ Goodbye                                             Auf Wiedersehen
✓ when where you born? (familiar)                     wann bist du geboren?
✓ the pencil                                          der Bleistift(e)
✓ (at) one o'clock                                    (um) eins
✓ how are you (formal)                                wie geht es Ihnen
✓ the season                                          die Jahreszeit(en)
✓ the opposite                                        das Gegenteil(e)
✓ long                                                lang
✓ isn't it?; isn't that right?                        nicht wahr?
✓ also, too                                           auch
✓ only (starts with n)                                nur
✓ the weather                                         das Wetter
✓ the picture                                         das Bild(er)
✓ you count (formal)                                  Sie zählen
✓ the day                                             der Tag(e)
✓ June                                                Juni
✓ thin; skinny                                        dünn
✓ to need                                             brauchen
✓ what's your name (familiar)                         wie heißt du
✓ the watch; clock; o'clock                           die Uhr(en)
✓ in English                                          auf Englisch
✓ to begin                                            beginnen
✓ December                                            Dezember
✓ May                                                 Mai
✓ too bad (starts with s)                             schade
✓ it's twenty (minutes) after seven                   es ist zwanzig (Minuten) nach sieben
✓ they count                                          sie zählen
✓ good; fine, well                                    gut
✓ slow(ly)                                            langsam
✓ brown                                               braun
✓ the jumper (starts with Pullo)                      der Pullover(-)
✓ the Mr; gentleman                                   der Herr(en)
✓ i am                                                ich bin
✓ short; small, little                                klein
✓ to cost; come to (a certain amount)                 kosten
✓ the course                                          der Kurs(e)
✓ thick; fat                                          dick
✓ i don't understand                                  das verstehe ich nicht
✓ the dress                                           das Kleid(er)
✓ wrong; false(ly)                                    falsch
✓ the colour                                          die Farbe(n)
✓ but, however                                        aber
✓ March                                               März
✓ at noon                                             mittags
✓ now                                                 jetzt
✓ or                                                  oder
✓ to be called                                        heißen
✓ pink                                                rosa
✓ again                                               (schon) wieder
✓ black                                               schwarz
✓ September                                           September
✓ to hear                                             hören
✓ grey                                                grau
✓ (at) two o'clock                                    (um) zwei
✓ to answer                                           antworten
✓ the number (starts with Z)                          die Zahl(en)
✓ how are you (casual)                                wie geht's
✓ for tomorrow                                        für morgen
✓ the paper                                           das Papier(e)
✓ it's five after four (time)                         es ist fünf nach vier
✓ nice; beautiful (starts with s)                     schön
✓ the room (starts with Z)                            das Zimmer(-)
✓ great; wonderful (starts with p)                    prima
✓ i count                                             ich zähle
✓ and                                                 und
✓ the week has seven days                             Die Woche hat sieben Tage
✓ yellow                                              gelb
✓ January                                             Januar
✓ the student (female)                                die Studentin(nen)
✓ the jacket                                          die Jacke(n)
✓ to learn; to study                                  lernen
✓ Monday                                              Montag
✓ the student (male)                                  der Student(en)
✓ the minute                                          die Minute(n)
✓ the t-shirt                                         das T-Shirt(s)
✓ not                                                 nicht
✓ expensive (starts with t)                           teuer
✓ i have a question                                   ich habe eine Frage
✓ how much                                            wie viel
✓ really; indeed (starts with w)                      wirklich
✓ the month                                           der Monat(e)
✓ the clothing                                        die Kleidung
✓ how are you (familiar)                              wie geht es dir
✓ tomorrow                                            morgen
✓ the trousers                                        die Hose(n)
✓ clean; neat                                         sauber
✓ it is one o'clock                                   es ist ein Uhr
✓ what time is it                                     wie viel Uhr ist es
✓ you (familiar) have                                 du hast
✓ they are                                            sie sind
✗ the sweatshirt (starts with S)                      das Sweatshirt(s)
✓ to have                                             haben
✓ white                                               weiß
✓ the jeans (this is already plural)                  die Jeans
✓ where is ...?                                       wo ist ...?
✓ the (university) lecture; class                     die Vorlesung(en)
✓ the door                                            die Tür(en)
✓ we count                                            wir zählen
✓ what does ... mean?                                 was bedeutet ...?
✓ finished, done                                      fertig
✓ to take                                             nehmen
✓ fast, quick(ly)                                     schnell
✓ the Mrs; woman; wife                                die Frau(en)
✓ the skirt                                           der Rock(¨e)
✓ October                                             Oktober
✓ i was born in May                                   ich bin im Mai geboren
✓ how late is it                                      wie spät ist es
✓ the table                                           der Tisch(e)
✓ the notebook (starts with H)                        das Heft(e)
✓ goodbye; bye (colloquial)                           tschüss
✓ to go                                               gehen
✓ here                                                hier
✓ the hour (starts with S)                            die Stunde(n)
✓ the chair                                           der Stuhl(e)
✓ the second                                          die Sekunde(n)
✓ it's ten (minutes) to three                         es ist zehn (Minuten) vor drei
✓ the coat                                            der Mantel(¨)
✓ to count                                            zählen
✓ dirty                                               schmutzig
✓ how much are ...?                                   was kosten ...?
✓ blue                                                blau
✓ see you later (literally: until later) (colloquial) Bis Später
✓ i have                                              ich habe
✓ the pen                                             der Kuli(s)
✓ thank you (starts with d)                           danke
✓ it's raining                                        es regnet
✓ short (used for objects)                            kurz
✓ how much is ...?                                    was kostet ...?
✓ the shoe                                            der Schuh(e)
✓ the time                                            die Zeit(en)
✓ the week                                            die Woche(n)
✓ speak slowly please                                 sprechen Sie bitte langsam
✓ August                                              August
✓ the wall                                            die Wand(¨e)
✓ the blouse                                          die Bluse(n)
✓ they have                                           sie haben
✓ April                                               April
✓ to say                                              sagen
✓ orange                                              orange
✓ the sun is shining                                  Die Sonne scheint
✓ good evening                                        guten Abend
✓ it is...                                            es ist...
✓ (at) quarter to two                                 (um) Virtel vor zwei
✓ February                                            Februar
✓ yes                                                 ja
✓ the winter                                          der Winter
✓ new                                                 neu
✓ i'm tired                                           ich bin müde
✓ take care (colloquial)                              mach's gut
