cards from: /Users/luna/flash-cards/languages/german/university/introductory-german/chapter-2/kapitelwortschatz.txt
Round 1:
✓ the (big) sausage                                die Wurst(¨e)
✓ but; however                                     aber
✓ the bread roll                                   das Brötchen(-)
✓ the coffee                                       der Kaffee(s)
✓ the drugstore                                    die Drogerie(n)
✓ to have                                          haben
✓ the apple                                        der Apfel(¨)
✓ closed (starts with z)                           zu
✗ gladly                                           gern
✓ the carrot                                       die Karotte(n)
✓ the pharmacy                                     die Apotheke(n)
✗ because, for (starts with d)                     denn
✓ the yoghurt                                      der Joghurt(s)
✗ the hot dog; small sausage                       das Würstchen(-)
✓ the vegetable                                    das Gemüse(-)
✓ the tomato                                       die Tomate(n)
✓ i would like (to have) (verb starts with h)      ich hätte gern
✓ all sorts of; various                            allerlei
✓ the cup                                          die Tasse(n)
✓ the lettuce; salad                               der Salat(e)
✓ you're welcome                                   bitte, bitte!
✓ the lemon                                        die Zitrone(n)
✓ the bread                                        das Brot(e)
✗ the supermarket                                  der Supermarkt(¨e)
✓ for                                              für
✓ against                                          gegen
✓ the bean                                         die Bohne(n)
✓ or                                               oder
✓ the banana                                       die Banane(n)
✓ i'm thirsty                                      ich habe Durst
✓ yes (affirmative response to negative statement) doch
✓ the cake                                         der Kuchen(¨)
✓ the strawberry                                   die Erdbeere(n)
✓ i'm hungry                                       ich habe Hunger
✓ the (farmers') market                            der Markt(¨e)
✓ the store (starts with L)                        der Laden
✓ through                                          durch
✓ whom?                                            wen?
✓ the cola                                         die Cola
✓ no; none                                         kein
✗ the pear                                         die Birne(n)
✗ the breakfast                                    das Frühstuck
✓ the thirst                                       der Durst
✗ the cafe                                         das Café(s)
✓ on tuesdays                                      dienstags
✓ the bakery                                       die Bäckerei(en)
✓ to look for                                      suchen
✓ the soft drink; lemonade (starts with L)         die Limonade(n)
✓ what do you/they have ...?                       was gibt's ...?
✓ not                                              nicht
✓ to belive; to think (starts with g)              glauben
✓ the salesperson (female)                         die Verkäuferin(nen)
✓ the pound (weight)                               das Pfund
✓ everything, all                                  alles
✓ i like to drink                                  ich trinke gern
✗ the flower shop                                  der Blumenladen(¨)
✓ the water                                        das Wasser
✓ the jam (starts with M)                          die Marmelade(n)
✓ the fish                                         die Fisch(e)
✓ the orange                                       die Orange(n)
✓ the flower                                       die Blume(n)
✓ the wine                                         der Wein(e)
✓ the butter                                       das Butter
✗ the butcher's                                    die Metzgerei(en)
✓ where do you/they have ...?                      wo gibt's ...?
✓ something, some, a little                        etwas
✓ and                                              und
✓ the beer                                         das Bier(e)
✓ of course (1 word) (starts with n)               natürlich
✓ the tea shop                                     der Teeladen(¨)
✓ there is, there are                              es gibt
✓ of course (2 words) (1st word starts with n)     na klar
✓ a few, some                                      ein paar
✓ the fruit                                        das Obst
✓ to be                                            sein
✓ together                                         zusammen
✓ the salesperson (male)                           der Verkäufer(-)
✓ to buy                                           kaufen
✓ on mondays                                       montags
✓ the glass                                        das Glas(¨er)
✓ that's all; that's it                            das ist alles
✓ then (temporal)                                  dann
✓ i like to eat                                    ich esse gern
✓ open                                             offen
✓ the egg                                          das Ei(er)
✓ without                                          ohne
✓ the pea                                          die Erbse(n)
✓ to make; to do                                   machen
✓ fresh(ly)                                        frisch
✓ the store (starts with G)                        das Geschäft(e)
✓ the juice                                        der Saft(e)
✓ around (a place); at (time)                      um
✓ the meat                                         das Fleisch
✓ the bookstore                                    die Buchhandlung(en)
✓ the cookie (starts with P)                       das Plätzchen(-)
✓ the hunger                                       der Hunger
✓ what kind of ...?                                was für ...?
✓ i go shopping                                    ich gehe ... einkaufen
✓ the cheese                                       der Käse(-)
✓ the milk                                         die Milch
✓ the tea                                          der Tee(s)
✓ to sell                                          verkaufen
✓ why                                              warum
✓ the cucumber; pickle                             die Gurke(n)
✓ the department store                             das Kaufhaus(¨er)
✓ i would like (to have) (verb starts with m)      ich möchte (gern)
✗ the groceries                                    die Lebensmittel
✓ to bump in to; to meet                           treffen
✓ the piece                                        das Stück(e)
Score: 99/109 (90.82568807339449%)

Round 2:
✗ the breakfast                                    das Frühstuck
✓ the pear                                         die Birne(n)
✓ the supermarket                                  der Supermarkt(¨e)
✗ because, for (starts with d)                     denn
✗ the cafe                                         das Café(s)
✓ the hot dog; small sausage                       das Würstchen(-)
✓ the groceries                                    die Lebensmittel
✓ gladly                                           gern
✓ the flower shop                                  der Blumenladen(¨)
✓ the butcher's                                    die Metzgerei(en)
Score: 7/10 (70.0%)

Round 3:
✓ the cafe                                         das Café(s)
✓ because, for (starts with d)                     denn
✓ the breakfast                                    das Frühstuck
Score: 3/3 (100.0%)

-normal
-rand-every-round
-no-flip
No. terms in the card set = 109
highest_streak = 42
perfect_streak = False
