cards from: /Users/luna/flash-cards/languages/german/university/introductory-german/chapter-2/kapitelwortschatz.txt
Round 1:
✓ the apple                                        der Apfel(¨)
✓ the pharmacy                                     die Apotheke(n)
✓ the bakery                                       die Bäckerei(en)
✓ the banana                                       die Banane(n)
✓ the bean                                         die Bohne(n)
✓ the beer                                         das Bier(e)
✓ the pear                                         die Birne(n)
✓ the flower                                       die Blume(n)
✓ the flower shop                                  der Blumenladen(¨)
✓ the bread                                        das Brot(e)
✓ the bread roll                                   das Brötchen(-)
✓ the bookstore                                    die Buchhandlung(en)
✓ the butter                                       das Butter
✓ the cafe                                         das Café(s)
✓ the cola                                         die Cola
✓ the drugstore                                    die Drogerie(n)
✓ the thirst                                       der Durst
✓ the egg                                          das Ei(er)
✓ the pea                                          die Erbse(n)
✓ the strawberry                                   die Erdbeere(n)
✗ the fish                                         der Fisch(e)
✓ the meat                                         das Fleisch
✗ the breakfast                                    das Frühstuck
✓ the vegetable                                    das Gemüse(-)
✓ the store (starts with G)                        das Geschäft(e)
✓ the glass                                        das Glas(¨er)
✓ the cucumber; pickle                             die Gurke(n)
✓ the hunger                                       der Hunger
✓ the yoghurt                                      der Joghurt(s)
✓ the coffee                                       der Kaffee(s)
✓ the carrot                                       die Karotte(n)
✓ the cheese                                       der Käse(-)
✓ the department store                             das Kaufhaus(¨er)
✓ the cake                                         der Kuchen(¨)
✓ the store (starts with L)                        der Laden
✓ the groceries                                    die Lebensmittel
✓ the soft drink; lemonade (starts with L)         die Limonade(n)
✓ the (farmers') market                            der Markt(¨e)
✓ the jam (starts with M)                          die Marmelade(n)
✓ the butcher's                                    die Metzgerei(en)
✓ the milk                                         die Milch
✓ the fruit                                        das Obst
✓ the orange                                       die Orange(n)
✓ the pound (weight)                               das Pfund
✓ the cookie (starts with P)                       das Plätzchen(-)
✓ the juice                                        der Saft(¨e)
✓ the lettuce; salad                               der Salat(e)
✓ the piece                                        das Stück(e)
✗ the supermarket                                  der Supermarkt(¨e)
✓ the cup                                          die Tasse(n)
✓ the tea                                          der Tee(s)
✓ the tea shop                                     der Teeladen(¨)
✓ the tomato                                       die Tomate(n)
✓ the salesperson (male)                           der Verkäufer(-)
✓ the salesperson (female)                         die Verkäuferin(nen)
✓ the water                                        das Wasser
✓ the wine                                         der Wein(e)
✓ the (big) sausage                                die Wurst(¨e)
✓ the hot dog; small sausage                       das Würstchen(-)
✓ the lemon                                        die Zitrone(n)
✓ to belive; to think (starts with g)              glauben
✓ to have                                          haben
✓ to buy                                           kaufen
✓ to make; to do                                   machen
✓ to be                                            sein
✓ to look for                                      suchen
✓ to sell                                          verkaufen
✓ fresh(ly)                                        frisch
✓ open (starts with o)                             offen
✓ closed (starts with z)                           zu
✓ through                                          durch
✓ for                                              für
✓ against                                          gegen
✓ without                                          ohne
✓ around (a place); at (time)                      um
✓ but; however                                     aber
✓ all sorts of; various                            allerlei
✓ everything, all                                  alles
✓ you're welcome                                   bitte, bitte!
✓ then (temporal)                                  dann
✓ that's all; that's it                            das ist alles
✓ because, for (starts with d)                     denn
✓ yes (affirmative response to negative statement) doch
✓ a few, some                                      ein paar
✓ there is, there are                              es gibt
✓ something, some, a little                        etwas
✓ gladly                                           gern
✓ i like to eat                                    ich esse gern
✓ i like to drink                                  ich trinke gern
✓ i go shopping                                    ich gehe ... einkaufen
✓ i'm hungry                                       ich habe Hunger
✓ i'm thirsty                                      ich habe Durst
✓ i would like (to have) (verb starts with h)      ich hätte gern
✓ i would like (to have) (verb starts with m)      ich möchte (gern)
✓ no; none                                         kein
✓ on mondays                                       montags
✓ on tuesdays                                      dienstags
✓ of course (2 words) (1st word starts with n)     na klar
✓ of course (1 word) (starts with n)               natürlich
✓ not                                              nicht
✓ or                                               oder
✓ and                                              und
✓ why                                              warum
✓ what do you/they have ...?                       was gibt's ...?
✓ where do you/they have ...?                      wo gibt's ...?
✓ what kind of ...?                                was für ...?
✓ whom?                                            wen?
✓ together                                         zusammen
✓ to bump in to; to meet                           treffen
Score: 106/109 (97.24770642201835%)

Round 2:
✓ the fish                                         der Fisch(e)
✓ the breakfast                                    das Frühstuck
✓ the supermarket                                  der Supermarkt(¨e)
Score: 3/3 (100.0%)

-normal
-no-rand
-no-flip
No. terms in the card set = 109
highest_streak = 63
perfect_streak = False
