cards from: /Users/luna/flash-cards/languages/german/university/introductory-german/chapter-2/kapitelwortschatz.txt
Round 1:
✓ through                                          durch
✓ fresh(ly)                                        frisch
✓ to make; to do                                   machen
✓ to be                                            sein
✓ no; none                                         kein
✓ the milk                                         die Milch
✓ the cafe                                         das Café(s)
✓ the soft drink; lemonade (starts with L)         die Limonade(n)
✓ together                                         zusammen
✓ that's all; that's it                            das ist alles
✓ i like to eat                                    ich esse gern
✓ something, some, a little                        etwas
✓ i would like (to have) (verb starts with m)      ich möchte (gern)
✓ yes (affirmative response to negative statement) doch
✓ a few, some                                      ein paar
✓ i would like (to have) (verb starts with h)      ich hätte gern
✓ the (big) sausage                                die Wurst(¨e)
✓ the bakery                                       die Bäckerei(en)
✓ the meat                                         das Fleisch
✓ the thirst                                       der Durst
✓ the bean                                         die Bohne(n)
✓ not                                              nicht
✓ the fish                                         der Fisch(e)
✓ i'm hungry                                       ich habe Hunger
✓ the cup                                          die Tasse(n)
✓ the coffee                                       der Kaffee(s)
✓ the (farmers') market                            der Markt(¨e)
✓ and                                              und
✓ around (a place); at (time)                      um
✓ the water                                        das Wasser
✓ the lemon                                        die Zitrone(n)
✗ because, for (starts with d)                     denn
✓ of course (2 words) (1st word starts with n)     na klar
✓ whom?                                            wen?
✓ the salesperson (male)                           der Verkäufer(-)
✓ to look for                                      suchen
✓ closed (starts with z)                           zu
✓ without                                          ohne
✓ the carrot                                       die Karotte(n)
✓ i go shopping                                    ich gehe ... einkaufen
✓ open (starts with o)                             offen
✓ why                                              warum
✓ to have                                          haben
✓ the glass                                        das Glas(¨er)
✓ the tea shop                                     der Teeladen(¨)
✓ what do you/they have ...?                       was gibt's ...?
✓ the hot dog; small sausage                       das Würstchen(-)
✓ for                                              für
✓ the flower shop                                  der Blumenladen(¨)
✓ what kind of ...?                                was für ...?
✓ the bread                                        das Brot(e)
✓ the store (starts with L)                        der Laden
✓ the bookstore                                    die Buchhandlung(en)
✓ the tomato                                       die Tomate(n)
✓ the juice                                        der Saft(¨e)
✓ the fruit                                        das Obst
✓ to sell                                          verkaufen
✓ the cheese                                       der Käse(-)
✓ the salesperson (female)                         die Verkäuferin(nen)
✓ the breakfast                                    das Frühstuck
✓ the drugstore                                    die Drogerie(n)
✓ or                                               oder
✗ the cookie (starts with P)                       das Plätzchen(-)
✓ the egg                                          das Ei(er)
✓ i'm thirsty                                      ich habe Durst
✓ on tuesdays                                      dienstags
✓ but; however                                     aber
✓ where do you/they have ...?                      wo gibt's ...?
✓ the apple                                        der Apfel(¨)
✓ the groceries                                    die Lebensmittel
✓ the pear                                         die Birne(n)
✓ the pound (weight)                               das Pfund
✓ the wine                                         der Wein(e)
✓ the hunger                                       der Hunger
✓ everything, all                                  alles
✓ to bump in to; to meet                           treffen
✓ the orange                                       die Orange(n)
✓ the department store                             das Kaufhaus(¨er)
✓ to belive; to think (starts with g)              glauben
✓ the pea                                          die Erbse(n)
✓ the supermarket                                  der Supermarkt(¨e)
✓ the bread roll                                   das Brötchen(-)
✓ gladly                                           gern
✓ the cola                                         die Cola
✓ the lettuce; salad                               der Salat(e)
✓ you're welcome                                   bitte, bitte!
✓ against                                          gegen
✓ the tea                                          der Tee(s)
✓ the jam (starts with M)                          die Marmelade(n)
✓ of course (1 word) (starts with n)               natürlich
✓ the cucumber; pickle                             die Gurke(n)
✓ the piece                                        das Stück(e)
✓ the flower                                       die Blume(n)
✗ the strawberry                                   die Erdbeere(n)
✓ the store (starts with G)                        das Geschäft(e)
✓ the cake                                         der Kuchen(¨)
✓ the vegetable                                    das Gemüse(-)
✓ the yoghurt                                      der Joghurt(s)
✓ then (temporal)                                  dann
✓ the butcher's                                    die Metzgerei(en)
✓ the pharmacy                                     die Apotheke(n)
✓ i like to drink                                  ich trinke gern
✓ all sorts of; various                            allerlei
✓ the banana                                       die Banane(n)
✓ on mondays                                       montags
✓ the beer                                         das Bier(e)
✓ to buy                                           kaufen
✓ there is, there are                              es gibt
✓ the butter                                       das Butter
Score: 106/109 (97.24770642201835%)

Round 2:
✓ the cookie (starts with P)                       das Plätzchen(-)
✓ the strawberry                                   die Erdbeere(n)
✓ because, for (starts with d)                     denn
Score: 3/3 (100.0%)

-normal
-rand-every-round
-no-flip
No. terms in the card set = 109
highest_streak = 31
perfect_streak = False
