cards from: /Users/luna/flash-cards/languages/german/university/introductory-german/chapter-3.txt
Round 1:
✓ to be fattening                                                                                    dick machen
✓ What's for lunch?                                                                                  Was gibt's zum Mittagessen?
✓ to drive                                                                                           fahren
✓ to eat breakfast                                                                                   frühstücken
✓ I'd like to pay                                                                                    Ich möchte zahlen bitte
✓ nothing to drink                                                                                   nichts zu trinken
✓ to recommend                                                                                       empfehlen
✓ the waiter (starts with O)                                                                         der Ober(-)
✓ the restaurant                                                                                     das Restaurant(s)
✓ to pay                                                                                             zahlen
✓ the food; meal                                                                                     das Essen
✓ the pizza                                                                                          die Pizza
✓ the female friend; girlfriend                                                                      die Freundin(nen)
✓ the pepper                                                                                         der Pfeffer
✓ at home                                                                                            zu Hause
✗ something to eat                                                                                   etwas zu trinken
✓ Bon appétit!                                                                                       Guten Appetit!
✓ the breakfast                                                                                      das Frühstück
✓ the ice cream                                                                                      das Eis
✓ with; together with                                                                                mit
✓ the café                                                                                           das Café(s)
✓ the knife                                                                                          das Messer(-)
✓ to bring                                                                                           bringen
✗ the fork                                                                                           die Gabel(n)
✓ What is there to eat?                                                                              Was gibt's zu essen?
✗ a bottle of ...                                                                                    eine Flasche ...
✓ to answer                                                                                          antworten
✓ another                                                                                            noch ein
✓ to belong to                                                                                       gehören
✓ to become, to get (state, e.g: „ich werde müde” "i'm getting tired")                               werden
✓ to thank                                                                                           danken
✓ of; from; by (creator, doer of an action)                                                          von
✓ to eat                                                                                             essen
✓ the student cafeteria                                                                              die Mensa
✓ to help                                                                                            helfen
✓ something                                                                                          etwas
✓ sometimes                                                                                          manchmal
✓ nothing                                                                                            nichts
✓ the supper; dinner                                                                                 das Abendessen
✓ the french fries                                                                                   die Pommes frites
✓ to please; be pleasing to                                                                          gefallen
✓ how many?                                                                                          wie viele?
✗ everywhere (starts with ü)                                                                         überall
✓ the spoon                                                                                          der Löffel(-)
✓ I like it                                                                                          Das schmeckt mir
✓ the serviette                                                                                      die Serviette(n)
✓ to walk; run                                                                                       laufen
✓ to sleep                                                                                           schlafen
✓ to give                                                                                            geben
✓ since; for (duration e.g: for 2 years)                                                             seit
✓ to taste; (to taste good *to*)                                                                     schmecken
✓ to believe                                                                                         glauben
✓ at/or a company; near, by (a place in a city like a park); at the home of, with (a person)         bei
✓ What is there to drink?                                                                            Was gibt's zu trink?
✗ the salt                                                                                           das Salz
✓ to take; to have (food)                                                                            nehmen
✓ besides (e.g: „_____ Kaufland ist alles zu”)                                                       außer
✓ to see                                                                                             sehen
✓ many                                                                                               viele
✓ much                                                                                               viel
✓ to read                                                                                            lesen
✓ towards home                                                                                       nach Hause
✓ one (e.g one would not run in the corridoors)                                                      man
✓ Thanks, you too!                                                                                   Danke, gleichfalls!
✓ the server; service                                                                                die Bedienung
✓ the pudding                                                                                        der Pudding(s)
✓ Waiter!/Waitress! (starts with B)                                                                  Bedienung!
✓ the male friend; boyfriend                                                                         der Freund(e)
✓ the soup                                                                                           die Suppe(n)
✓ to order                                                                                           bestellen
✓ That's good!, That tastes good!                                                                    Das schmeckt gut!
✗ the plate                                                                                          der Teller(-)
✗ the waiter (starts with K)                                                                         der Kellner(-)
✓ to (int he direction of); at (in certain expressions) for (purpose e.g: i buy a pan to cook)       zu
✓ the rice                                                                                           der Reis
✓ out of; from (a country of origin)                                                                 aus
✓ the menu (starts with s)                                                                           die Speisekarte(n)
✗ not only ... but also ...                                                                          nicht nur ... sondern auch
✓ I would like to have ... (2nd word starts wtih h)                                                  Ich hätte gern ...
✗ the lunch, midday meal                                                                             das Mittagessen
✓ Waiter! (2nd word starts with O)                                                                   Herr Ober
✓ the dessert                                                                                        der Nachtisch
✓ to remain; to stay                                                                                 bleiben
✓ the bottle                                                                                         die Flasche(n)
✓ the check; the bill                                                                                die Rechnung(en)
✓ I would like to have ... (2nd word starts wtih m)                                                  Ich möchte gern ...
✓ to pay for                                                                                         bezahlen
✓ after (time e.g: Virtel ____ eins); to (cities, countries continents); to (in certain expressions) nach
✓ the sugar                                                                                          der Zucker
✓ the noodle                                                                                         die Nudel(n)
✓ perhaps                                                                                            vielleicht
✓ especially                                                                                         besonders
✓ the hand                                                                                           die Hand(¨e)
✗ the potato                                                                                         die Kartoffel(n)
✓ to carry; wear                                                                                     tragen
✗ usual(ly)                                                                                          gewöhnlich
✓ What's for breakfast?                                                                              Was gibt's zum Frühstück?
✓ how much?                                                                                          wie viel?
✓ I don't like ...                                                                                   Ich mag kein ...
Score: 88/99 (88.88888888888889%)

Round 2:
✓ the lunch, midday meal                                                                             das Mittagessen
✓ a bottle of ...                                                                                    eine Flasche ...
✓ the potato                                                                                         die Kartoffel(n)
✓ the salt                                                                                           das Salz
✓ not only ... but also ...                                                                          nicht nur ... sondern auch
✓ the waiter (starts with K)                                                                         der Kellner(-)
✓ something to eat                                                                                   etwas zu trinken
✓ usual(ly)                                                                                          gewöhnlich
✓ the fork                                                                                           die Gabel(n)
✓ everywhere (starts with ü)                                                                         überall
✓ the plate                                                                                          der Teller(-)
Score: 11/11 (100.0%)

-normal
-rand-every-round
-no-flip
No. terms in the card set = 99
highest_streak = 16
perfect_streak = False
