cards from: /Users/luna/flash-cards/languages/german/university/introductory-german/chapter-3.txt
Round 1:
✓ how many?                                                                                          wie viele?
✓ the waiter (starts with K) (female)                                                                die Kellnerin(nen)
✓ the café                                                                                           das Café(s)
✓ something                                                                                          etwas
✓ What is there to eat?                                                                              Was gibt's zu essen?
✓ to read                                                                                            lesen
✓ nothing                                                                                            nichts
✓ to answer                                                                                          antworten
✓ since; for (duration e.g: for 2 years)                                                             seit
✓ to drive                                                                                           fahren
✓ to taste; (to taste good *to*)                                                                     schmecken
✓ to believe                                                                                         glauben
✓ to carry; wear                                                                                     tragen
✓ the serviette                                                                                      die Serviette(n)
✓ the female friend; girlfriend                                                                      die Freundin(nen)
✓ the pudding                                                                                        der Pudding(s)
✓ especially                                                                                         besonders
✓ sometimes                                                                                          manchmal
✓ to help                                                                                            helfen
✓ at home                                                                                            zu Hause
✓ perhaps                                                                                            vielleicht
✓ to please; be pleasing to                                                                          gefallen
✓ the waiter (starts with O)                                                                         der Ober(-)
✓ after (time e.g: Virtel ____ eins); to (cities, countries continents); to (in certain expressions) nach
✓ the knife                                                                                          das Messer(-)
✓ the noodle                                                                                         die Nudel(n)
✓ much                                                                                               viel
✓ to eat breakfast                                                                                   frühstücken
✓ to order                                                                                           bestellen
✓ the plate                                                                                          der Teller(-)
✓ the rice                                                                                           der Reis
✓ to take; to have (food)                                                                            nehmen
✓ I would like to have ... (2nd word starts wtih h)                                                  Ich hätte gern ...
✓ Waiter!/Waitress! (starts with B)                                                                  Bedienung!
✓ What's for lunch?                                                                                  Was gibt's zum Mittagessen?
✓ I don't like ...                                                                                   Ich mag kein ...
✓ I'd like to pay please                                                                             Ich möchte zahlen bitte
✓ the hand                                                                                           die Hand(¨e)
✓ to recommend                                                                                       empfehlen
✓ to see                                                                                             sehen
✓ a bottle of ...                                                                                    eine Flasche ...
✓ out of; from (a country of origin)                                                                 aus
✓ nothing to drink                                                                                   nichts zu trinken
✓ the lunch, midday meal                                                                             das Mittagessen
✓ to bring                                                                                           bringen
✓ the male friend; boyfriend                                                                         der Freund(e)
✓ I would like to have ... (2nd word starts wtih m)                                                  Ich möchte gern ...
✓ to (int he direction of); at (in certain expressions) for (purpose e.g: i buy a pan to cook)       zu
✓ to belong to                                                                                       gehören
✓ to sleep                                                                                           schlafen
✓ everywhere (starts with ü)                                                                         überall
✓ with; together with                                                                                mit
✓ to become, to get (state, e.g: „ich _____ müde” "i'm getting tired")                               werden
✓ of; from; by (creator, doer of an action)                                                          von
✓ the supper; dinner                                                                                 das Abendessen
✓ the server; service                                                                                die Bedienung
✓ to give                                                                                            geben
✓ one (e.g one would not run in the corridoors)                                                      man
✓ Waiter! (2nd word starts with O)                                                                   Herr Ober
✓ the salt                                                                                           das Salz
✓ the fork                                                                                           die Gabel(n)
✓ the soup                                                                                           die Suppe(n)
✓ the potato                                                                                         die Kartoffel(n)
✓ to eat                                                                                             essen
✓ the restaurant                                                                                     das Restaurant(s)
✓ Thanks, you too!                                                                                   Danke, gleichfalls!
✓ the bottle                                                                                         die Flasche(n)
✓ the dessert                                                                                        der Nachtisch
✓ something to eat                                                                                   etwas zu essen
✓ What is there to drink?                                                                            Was gibt's zu trinken?
✓ Bon appétit!                                                                                       Guten Appetit!
✓ the pizza                                                                                          die Pizza
✓ the menu (starts with S)                                                                           die Speisekarte(n)
✓ the spoon                                                                                          der Löffel(-)
✓ I like it                                                                                          Das schmeckt mir
✓ That's good!, That tastes good!                                                                    Das schmeckt gut!
✓ the food; meal                                                                                     das Essen
✓ besides (e.g: „_____ Kaufland ist alles zu”)                                                       außer
✓ to be fattening                                                                                    dick machen
✓ many                                                                                               viele
✓ to walk; run                                                                                       laufen
✓ the waiter (starts with K) (male)                                                                  der Kellner(-)
✓ to thank                                                                                           danken
✓ the student cafeteria                                                                              die Mensa
✓ the check; the bill                                                                                die Rechnung(en)
✓ not only ... but also ...                                                                          nicht nur ... sondern auch ...
✓ to pay                                                                                             zahlen
✓ What's for breakfast?                                                                              Was gibt's zum Frühstück?
✓ at/or a company; near, by (a place in a city like a park); at the home of, with (a person)         bei
✓ to remain; to stay                                                                                 bleiben
✓ the ice cream                                                                                      das Eis
✓ the french fries                                                                                   die Pommes frites
✓ another                                                                                            noch ein
✓ the pepper                                                                                         der Pfeffer
✓ to pay for                                                                                         bezahlen
✓ the sugar                                                                                          der Zucker
✓ how much?                                                                                          wie viel?
✓ the breakfast                                                                                      das Frühstück
✓ usual(ly)                                                                                          gewöhnlich
✓ towards home                                                                                       nach Hause
Score: 100/100 (100.0%)

-hard
-rand-every-round
-no-flip
No. terms in the card set = 100
highest_streak = 100
perfect_streak = True
