cards from: /Users/luna/flash-cards/languages/german/university/introductory-german/chapter-4.txt
Round 1:
✓ at/for Easter                                                                                zu Ostern
✓ to be unlucky                                                                                Pech haben
✓ the fest, festival                                                                           das Fest(e)
✓ Thank you very much!                                                                         Vielen/Herzlichen Dank!
✓ Have a nice weekend!                                                                         (Ein) schönes Wochenende!
✓ the calendar dates                                                                           die Daten
✓ (over) there (used for far away places like countries)                                       dort
✓ funny, amusing                                                                               lustig
✓ to sing                                                                                      singen
✓ that (conjunction) (starts with d)                                                           dass
✓ When is your birthday? (formal)                                                              Wann haben Sie Geburtstag?
✓ to study a particular field; to be a student at a university; to study at uni                studieren
✓ the number                                                                                   die Zahl(en)
✓ I was (you were, she was, etc.) unlucky (this is an exclamation)                             Pech gehabt!
✓ actually                                                                                     eigentlich
✓ to wish                                                                                      wünschen
✓ to last, take (duration)                                                                     dauern
✓ on the weekend                                                                               am Wochenende
✓ Thanks a lot!                                                                                Danke schön!
✓ never                                                                                        nie
✓ the song                                                                                     das Lied(er)
✓ Get well soon!                                                                               Gute Besserung!
✓ always                                                                                       immer
✓ to get, receive                                                                              bekommen
✓ to give a gift                                                                               schenken
✓ Congratulations ...! (literally: "I congratulate you (informal)/you (formal)") (dative verb) Ich gratuliere dir/Ihnen ...!
✓ Congratulations!                                                                             Herzlichen Glückwünsch!
✓ to celbrate, party (starts with d)                                                           deiern
✓ I was born on the first of May 1993                                                          Ich bin am ersten Mai 1993 geboren
✗ the celebration                                                                              die Feier(n)
✓ at/for New Year's Eve                                                                        zu Silvester
✓ You're welcome!, My pleasure!                                                                Nichts zu danken!
✓ Best wishes!                                                                                 Herzliche Glückwünsche!
✓ the present, gift                                                                            das Geschenk(e)
✓ although (starts with o)                                                                     obwohl
✓ I (you were, she was, etc.) lucky (exclamation)                                              Glück gehabt!
✓ When were you born? (formal)                                                                 Wann sind Sie geboren?
✓ the surprise                                                                                 die Überraschung(en)
✓ if, whether (starts with o)                                                                  ob
✓ to think                                                                                     denken
✓ I was born in 1993                                                                           Ich bin in 1993 geboren
✓ sure(ly), certain(ly) (starts with s)                                                        sicher
✓ the calendar date                                                                            das Datum
✓ to congratulate                                                                              gratulieren
✓ What's the date today?                                                                       Welches Datum ist heute?
✓ That's fun to me                                                                             Das macht mir Spaß
✓ at/for Christmas                                                                             zu Weihnachten
✓ on/for one's birthday                                                                        zum Geburtstag
✓ The vacation is from ... until ...                                                           Die Ferien sind vom ... bis zum ...
✓ the vacation (this is plural) (starts with F)                                                die Ferien
✓ crazy                                                                                        verrückt
✓ the candle                                                                                   die Kerze(n)
✓ because (starts with w)                                                                      weil
✓ All the best!                                                                                Alles Gute!
✓ That's fun                                                                                   Das macht Spaß
✓ to be fun                                                                                    Spaß haben
✓ I wish you ...!                                                                              Ich wünsche dir/Ihnen ...!
✓ to be lucky                                                                                  Glück haben
✓ still; else (starts with n)                                                                  noch
✓ to dance                                                                                     tanzen
✓ I don't believe it!, That's impossible!                                                      Das gibt's doch nicht!
✗ How long?                                                                                    Wie lange?
✓ the party                                                                                    die Party(s)
✓ You're welcome!                                                                              Bitte schön!
✓ Have a good New Year! (literally: "A good new year")                                         Ein gutes neues Jahr!
✓ the holiday                                                                                  der Feiertag(e)
✓ yesterday                                                                                    gestern
✓ the day after tomorrow                                                                       übermorgen
✓ My birthday is on the first of May                                                           Ich habe am ersten Mai (1.5.) Geburtstag
✓ loud(ly), noisy, noisily                                                                     laut
✗ if; when(ever) (starts with w)                                                               wenn
✓ Happy birthday! (literally: "All good for birthday")                                         Alles Gute zum Geburtstag!
✓ Today is the first of may (5/1)                                                              Heute ist der erste Mai (1.5.)
✓ Merry Christmas!                                                                             Frohe/Fröhliche Weihnachten!
✓ before (starts with b)                                                                       bevor
✓ Really? (starts wtih E)                                                                      Echt?
✓ never before                                                                                 noch nie
✓ a week ago (1st word starts with v)                                                          vor einer Woche
✓ What a surprise!                                                                             So eine Überraschung!
✓ to fall                                                                                      fallen
✓ tomorrow                                                                                     morgen
✓ just, right now (starts with g)                                                              gerade
✓ to surprise                                                                                  überraschen
✓ the ordinal number                                                                           die Ordinalzahl(en)
✓ the birthday                                                                                 der Geburtstag(e)
✓ the day before yesterday                                                                     vorgestern
✓ Congratulations on your birthday!                                                            Herzlichen Glückwünsch zum Geburtstag!
✓ to name, call (starts with n)                                                                nennen
✓ the champagne (prosecco)                                                                     der Sekt(e)
✓ to do (starts with t)                                                                        tun
Score: 87/90 (96.66666666666667%)

Round 2:
✓ How long?                                                                                    Wie lange?
✓ if; when(ever) (starts with w)                                                               wenn
✓ the celebration                                                                              die Feier(n)
Score: 3/3 (100.0%)

-normal
-rand-every-round
-no-flip
No. terms in the card set = 90
highest_streak = 31
perfect_streak = False
